time ,x-axis,y-axis,z-axis
0.068,-0.158491135,0.234387398,-0.023376942
0.125,-0.201112747,0.153727531,-0.293826222
0.186,0.486312866,-0.565227509,-0.727945328
0.246,-0.007549286,-0.356146812,-0.110716581
0.306,-0.355170727,-0.084638596,0.037260771
0.368,0.077414036,-0.253444672,-0.099960804
0.428,-0.144826412,-0.062235832,-0.134085298
0.488,-0.074287415,0.159210205,-0.244042993
0.586,-0.437262535,0.411540031,-0.151508451
0.638,0.071461201,0.028113365,-1.509874582
0.69,-0.302662373,-0.591113091,-1.312894106
0.752,0.674416065,0.053991318,-1.157030582
0.812,0.472651958,-0.104089737,-1.241218567
0.876,0.426988125,0.08164978,-0.527394772
0.932,0.883459568,0.290496826,-0.298886478
0.994,0.662671804,0.312247276,-0.238631591
1.059,0.344778776,0.015806198,0.085747078
1.119,-0.178307056,0.644745827,0.534163356
1.181,-0.64055872,0.904928207,-0.462082356
1.241,-0.053660393,0.412849426,-0.035321832
1.301,0.424057245,-0.3869133,-0.430366665
1.361,-0.244395733,-0.176588058,-0.613435566
1.421,-0.083239079,-0.588155746,-0.404585361
1.481,-0.49001646,0.598965645,-0.409667701
1.543,-0.26239872,0.359601974,-0.570518613
1.602,0.076030731,-0.076249123,-0.12873432
1.663,0.180639744,-0.134051323,-0.001832828
1.724,0.351719856,-0.681249619,0.30473274
1.785,0.297507286,0.013465881,0.163500398
1.845,0.486724377,0.331820488,0.094750673
1.905,0.410865784,0.082101822,0.543647051
1.963,0.257296085,0.492349625,0.670254946
2.024,0.414738655,0.635425568,0.582940459
2.088,0.579995155,0.146514893,0.523795068
2.148,0.693243504,-0.349449158,0.909979939
2.207,0.933655739,0.252344131,1.061815619
2.268,0.871181488,0.368545532,0.593441248
2.328,0.572468042,0.424309731,0.667993546
2.389,0.367951632,0.490219116,0.641215682
2.448,1.189074993,0.374596596,0.807144284
2.51,1.078207493,0.314275742,0.903646469
2.571,0.556196213,0.133964539,0.705737054
2.632,0.430496216,0.207298279,0.462706983
2.691,0.590288639,0.370689392,0.407917023
2.752,0.251939535,0.326945305,0.461109757
2.81,0.570766926,0.284340858,0.48820734
