time,x-axis,y-axis,z-axis
0,0,0,0
0.057,0.120249748,-0.215126038,-0.040459394
0.136,-0.293345928,0.377584457,0.469738245
0.201,0.283394814,0.148094177,-0.076148748
0.254,-0.770838261,1.297422409,0.366160989
0.317,-0.207623959,1.054620743,0.568806171
0.375,0.656606913,-0.382491112,0.512838006
0.436,0.019126892,-0.894166946,-0.390085578
0.497,0.051587343,-0.107326508,0.26654923
0.559,0.397104263,-0.124453545,0.247724056
0.65,0.325493097,-0.191631317,0.568174124
0.744,-0.373199463,0.098050117,0.351108909
0.8,-0.655714512,1.304046631,0.891034961
0.861,0.162972689,-0.155461311,1.223917723
0.924,0.21901989,-0.669857979,0.612060308
0.985,1.085435152,-1.677319527,0.630735397
1.041,-0.589099884,1.304209709,1.603818417
1.107,0.744073153,-0.507250786,0.090818167
1.168,-0.465000391,-0.185626984,0.60144949
1.225,0.371023178,0.221059799,0.705037594
1.285,-0.135814667,1.010109901,-0.112320423
1.349,0.425227165,0.896904945,0.942961931
1.41,0.132213593,0.013719559,0.254493713
1.471,1.094656467,-0.768704414,-0.577692986
1.531,0.327830791,0.336274147,1.373719931
1.592,0.929691553,-0.95615387,-0.542303801
1.649,0.313750029,2.139661789,1.452584982
1.709,1.032441378,-2.075385094,-0.161406994
1.773,0.238937378,1.11319828,1.356184244
1.83,0.005350828,-0.241014481,-0.01761651
1.89,0.354091406,-0.578474998,1.342207193
1.951,0.528346062,1.540308952,0.756727695
2.015,0.766389132,-1.214221954,0.502460718
2.076,0.255304575,1.990763664,0.65617609
2.136,1.032028675,-1.710803986,-0.682364464
2.193,0.087296247,2.354764938,2.44229722
2.257,-0.393749475,0.511115074,2.565860748
2.317,0.134820223,-1.04308033,-1.311266899
2.379,-0.434291363,-3.391492844,-2.670860052
2.439,0.217346668,-3.377975464,-3.188153744
2.499,-0.812799931,3.659988403,0.717425585
2.56,0.01688838,1.39222908,-0.139546871
2.621,-1.334177256,4.843198776,-0.568176746
2.681,-1.780576229,1.852017403,-1.288392067
2.742,1.347356081,-2.509997368,-0.854245901
2.803,2.521588087,-5.852765083,-0.742697477
2.862,2.310845613,-6.287679672,-1.298696995
2.922,1.924935818,-6.522507668,-2.558759451
2.982,-4.823801994,10.62549305,0.690393209
3.043,-3.316522121,7.594262123,-0.820680857
3.101,-1.749417305,4.504864693,-0.714701891
3.164,-0.758839846,-0.636342049,-1.565044165
3.222,0.459746361,-3.488521576,-2.422821522
3.286,0.841691017,-3.266858101,-3.017879963
3.347,0.789277554,-4.781578064,-3.084930897
3.407,0.239411831,-0.904596329,-1.649758697
3.464,-2.625245333,4.710588455,-2.361907005
3.528,-1.71794343,4.461289406,-1.682059407
3.583,-1.052645683,1.506713867,-1.851822734
3.648,-0.335624695,-0.200702667,-1.680953741
3.71,1.15114665,-3.849132538,-1.354530573
3.767,1.539765358,-3.565366745,-0.682028294
3.827,-0.466866493,-0.736656189,-1.236329556
3.892,-0.491490126,0.405659676,-1.748679161
3.953,-2.372068882,3.663920403,-1.999164701
4.012,-1.590660334,2.438462257,-1.695928335
4.069,-0.870123148,0.819211006,-1.761979222
4.133,-0.300166368,-0.599217415,-1.350936055
4.194,0.99025321,-3.834904671,-0.937582612
4.255,1.137675285,-3.173682213,-1.431191921
4.315,-0.164843082,0.97654438,-1.076908708
4.375,-1.974310875,4.021710396,-1.755771637
4.436,-1.343266487,2.175143242,-1.674611092
4.497,-0.709661961,1.397503853,-1.67277205
4.554,-0.227142572,-1.252744675,-0.57005167
4.614,0.477173805,-2.791455269,-0.913046837
4.677,0.799980879,-2.700732231,-1.023216248
4.735,-0.628052235,-0.171705246,-0.705884695
4.798,-1.99053669,1.912363052,-0.494330406
4.859,-2.736388206,3.405861855,-1.393502235
4.919,-2.1092906,0.984160423,-1.220155597
4.98,-0.057164192,-1.348348618,-0.791078687
5.037,0.293775797,-2.677339554,-0.15734303
5.099,0.451302052,-2.754466057,-0.82540524
5.159,-0.139090061,-1.625144958,-0.773489833
5.219,-1.104294777,0.89657402,-0.584588528
5.278,-1.844864368,3.469812393,-0.075896859
