time,x-axis,y-axis,z-axis
0.065,-0.240086555,0.057165623,0.023487329
0.136,0.085269451,-0.052716255,0.080719948
0.222,-0.063040733,0.021053314,0.065546989
0.282,-0.039926529,0.057444096,-0.058853149
0.337,-0.031215191,-0.065216541,0.038073301
0.397,-0.087007999,-0.089039803,-0.051689863
0.457,0.024856567,0.029617786,-0.025766373
0.517,0.061623096,-0.054192066,-0.025411129
0.578,0.159145832,-0.125565529,-0.243551493
0.637,0.103300095,-0.178997993,-0.530237913
0.697,-0.063677788,-0.010117054,-1.349431515
0.757,0.608300686,0.234286308,-1.14825058
0.817,0.820409298,0.102210522,-0.99480772
0.877,1.189508915,0.605442047,0.08879292
0.937,0.364530563,1.188322186,0.562608719
0.997,-0.846550941,0.49303025,1.268980622
1.057,-0.816740036,-0.78518039,0.880403996
1.117,-0.833683968,-0.512168288,0.915451348
1.177,-1.495749474,0.273153186,-0.503740549
1.239,-0.270405769,0.947071552,-1.560731411
1.298,0.568774223,1.834158778,-0.558988333
1.362,0.873275757,1.454405189,0.15972352
1.42,0.178209305,3.031321049,-0.547343254
1.482,0.312615395,4.216254234,-0.037535667
1.54,-0.109778404,-1.432148099,-1.046411753
1.601,0.609712601,0.553011417,-0.114514112
1.662,-1.192109108,-1.046715736,-0.687964678
1.722,-0.411532402,-0.5589993,0.375123501
1.782,0.374544144,-0.155308962,0.294774532
1.842,-0.469726563,0.176775694,-0.446767092
1.903,-0.118421555,0.692333937,-0.178267479
1.964,0.006509781,-0.257763624,-1.164391518
2.024,-0.382206917,-0.147411585,-0.46129775
2.083,-0.038420677,-0.406796932,0.447332144
2.145,-0.178578377,0.025521278,0.732830286
2.206,0.753995895,0.37438345,-0.070426702
2.267,-0.668793678,0.025474072,-1.130309582
2.33,-0.245776176,-0.568078399,-0.169056654
2.39,-0.056830406,0.163288355,0.351990938
2.449,0.462521553,0.355004311,-0.138096333
2.51,-0.128705025,-0.141317368,-0.107771873
2.57,-0.460941315,-0.558319688,-0.032384396
2.63,-0.107391357,0.26063323,0.249254227
2.692,-0.172231674,-0.481456995,-0.18662858
2.753,0.380886078,0.072899818,-0.043590069
2.815,0.057257652,0.575468779,-0.123449326
2.875,0.01571846,-5.91E-04,-0.064869165
2.936,-0.349538803,-0.271874905,0.138830423
2.997,-0.145961761,-0.261241436,-0.328776121
3.056,0.374739647,0.439701319,0.135753393
3.117,-0.090109825,-0.209897041,-0.06415534
3.178,-0.426626205,-0.138586044,-0.126687527
3.238,0.334647179,0.211564302,-0.020626783
3.298,-0.160215378,-0.094767809,-0.141347885
3.357,0.011163712,0.09714365,0.058158398
3.418,-0.045318604,-0.17571497,0.027889729
3.479,0.01491642,0.074392796,0.024707079
3.538,-0.016192436,0.001215935,-0.0567348
3.6,0.035984993,0.010132313,-0.085417271
3.66,-0.032547951,0.038413286,-0.07800436
3.72,-0.149381638,-0.040614605,-0.089348793
3.78,0.044940948,0.059276104,-0.008308411
3.841,-0.032168388,0.010189295,-0.125919342
3.903,-0.12312603,0.149297953,-0.203493834
3.964,-0.341457367,0.146827936,-0.290555954
4.024,0.465511322,-0.19015193,0.4961164
4.084,0.196845055,-0.207431078,-0.140709639
4.143,-0.355288506,0.177429676,0.184298515
4.204,-0.30586338,0.078474998,-0.159615993
4.265,0.043933868,-0.112449884,-0.134716988
4.325,-0.219147682,-0.004772425,-3.98E-05
4.388,0.176344872,0.057754993,0.007646322
4.447,-0.012498856,-0.025252581,-0.19273138
4.511,-0.16946125,0.070298433,0.02225852
4.572,-0.453728676,0.173018932,0.138451576
4.632,0.022381783,-0.107829809,-0.011969328
4.692,0.052224159,-0.003192425,0.06262207
4.755,-0.208218575,0.074877262,0.074874878
4.817,-0.210796356,0.00315094,0.337321758
4.878,-0.263957977,-0.056764603,-0.572553873
4.94,-1.380268097,0.560566425,-0.639808416
5.002,0.309670448,-0.167982101,0.273635864
5.063,0.927897453,0.64774847,1.225928307
5.123,-0.473326683,-0.002684593,-0.08616972
5.183,0.34758091,-0.89221704,-0.337508202
5.243,0.816167355,-0.478273869,0.302988768
5.303,0.771719933,0.04436636,0.325495481
5.363,-0.160598755,0.719260931,0.169216156
5.424,-0.902470589,-0.081864357,-0.18407464
5.484,0.94462204,0.134323359,0.081450701
5.543,-0.391747475,0.128730059,-0.196434736
5.603,0.010296822,0.451342106,0.19353056
5.664,0.509444237,0.113321066,-0.092028141
5.724,-0.578275681,-0.010904074,-0.306344271
5.783,-0.581923485,-0.611259699,-0.146077394
5.844,-0.095852852,0.157591343,0.166220427
5.903,0.250059128,0.142674446,0.152194262
5.964,-0.140664101,0.141801357,-0.122699976
6.025,0.219069481,-0.199416161,0.085990667
6.084,-0.240428925,0.091390848,0.135335922
6.144,-0.216492653,-0.180984974,-0.045508385
6.206,0.091007233,0.119211197,-0.053530455
