time,x-axis,y-axis,z-axis
0.026,0.041089833,-0.194223881,-0.264198303
0.108,0.244467616,0.028885841,-0.248344898
0.185,-0.050513148,0.164391041,0.707604885
0.246,-0.885204315,-0.114432335,-0.647893429
0.303,-1.17765522,0.011152744,0.233664036
0.363,-0.488466203,0.287502766,4.040503502
0.423,0.756533504,1.52070713,0.149679184
0.483,1.057402372,0.680934906,-5.110189915
0.543,0.630260468,-0.354951859,-4.668557167
0.613,-0.713758707,-1.2645154,0.009333134
0.683,0.490046978,-0.096105576,3.804576874
0.743,-0.481503725,-0.465942383,1.025395393
0.803,-0.275141954,-0.762905121,-1.40803957
0.863,-0.126578331,-0.371218681,-2.212041378
0.923,-2.341335058,0.114453793,0.486876011
0.983,-3.402419806,-2.057372093,-3.338391542
1.042,9.298663139,4.465017319,1.424942017
1.103,1.728376985,-1.014086723,1.285831928
1.163,-2.487066269,1.30365324,-0.461054802
1.226,-0.719178081,-0.474406719,0.015721321
1.29,-1.517417312,-0.416192055,-0.972307682
1.351,1.07389915,-1.101955414,0.625234127
1.413,0.412601471,-1.826173306,1.640043736
1.473,0.830609202,0.885986328,-2.237512112
1.534,2.004971743,0.521192074,-2.690522909
1.593,-0.439379692,-0.741232872,-0.359583378
1.653,1.331777811,-0.543127537,-0.211566925
1.733,-3.112172127,1.560875893,0.040372849
1.788,-0.24438262,0.357245922,-1.979156971
1.847,0.709691525,-0.836258411,0.887629032
1.908,0.894004822,-0.334062099,0.120087147
1.968,0.105089903,-0.749666691,1.270915031
2.027,0.219500303,-0.350273609,0.289258957
2.087,-1.458013058,-0.309539318,0.702885628
2.159,-0.981654644,0.198031902,0.10142231
2.212,-0.777185977,-0.660097599,-0.104000568
2.272,0.378898621,0.051879883,-1.160017014
2.338,0.86898315,0.569797039,0.071782589
2.399,-0.256572545,-0.356400013,0.624932289
2.462,0.194283128,-0.606383324,0.550302505
2.523,-0.021575928,-0.103458881,0.037997246
2.587,0.141129613,-0.096405029,-0.365671635
2.647,0.527907252,-0.624676704,-0.373603821
