time,x-axis,y-axis,z-axis
0.148,0,0,0
0.21,-0.109560013,-0.042874813,-0.005732059
0.271,0.054332256,0.054225922,-4.22E-04
0.332,-0.002343178,-0.129223824,-0.010099888
0.392,-0.017368317,0.122784138,0.015981674
0.452,0.042789936,-0.117685795,0.017999172
0.513,-0.024279594,0.121700287,0.03112793
0.652,0.016330719,-0.123205662,-0.051613331
0.721,0.013005733,-0.043008327,0.190265656
0.776,-0.002793312,0.03021574,0.390622139
0.837,0.158804893,-0.346224785,0.022597313
0.902,0.1469841,-0.110908985,-0.025088787
0.959,-0.027053356,-0.241056919,-0.03694582
1.017,0.105443478,-0.086849689,-0.206572533
1.078,0.222260475,0.320736408,-0.714432716
1.141,-0.132156849,0.212207794,-0.378181934
1.203,-0.274389982,0.121870518,-0.026150227
1.264,0.143904448,0.253631115,-0.172655106
1.325,0.123355627,-0.172502041,0.162810326
1.386,0.539750338,-0.298061371,-0.117787838
1.441,0.626400709,-0.242823124,-0.190646648
1.507,-0.013627529,-0.225860596,-0.324287415
1.566,-0.324019194,-0.022034645,0.05201149
1.627,-0.180786848,0.225106239,0.127523899
1.688,0.013457775,0.099513531,-0.010174751
1.748,2.44E-04,0.209153175,-0.084653378
1.805,-0.310255527,0.325129032,-0.116683006
1.869,-0.732848406,-0.482710361,0.27545166
1.93,0.177991629,-0.326634884,-0.098496914
1.99,-0.131248355,-0.340605736,-0.095244884
2.05,-0.235860527,-0.049393177,-0.376750469
2.111,-0.684483588,0.129707813,0.547049522
2.172,-0.425272822,0.129980564,0.908900261
2.23,0.055743396,-0.079775333,0.479572296
2.293,-0.185407698,-0.346814156,0.217634678
2.353,-0.242943883,-0.08009243,-0.24140358
2.415,-0.022898376,0.056524754,0.447361469
2.475,0.077289581,0.002555847,-0.00209713
2.532,-0.063134849,-0.048492432,-0.352965832
2.596,-0.114882946,0.176944733,-0.119982719
2.656,-0.075621009,0.07087326,0.249572754
2.717,0.083153248,0.080907345,0.01308918
2.775,-0.182264686,-0.303561687,0.217035294
2.838,0.075007915,-0.138629913,-0.057100296
2.896,-0.074609876,0.109865189,0.244094372
2.956,-0.627646446,0.082560062,0.163038254
3.02,-0.052986741,-0.091121674,0.942301273
3.079,0.198865652,-0.180615902,0.489398479
3.14,-0.030708551,0.301962376,1.455481052
3.201,-0.587546587,-0.399237633,1.37803936
3.261,-0.475703478,-0.533486843,0.610387802
3.319,-0.442897081,-1.021807194,-2.192435741
3.38,-0.381331682,-0.850554943,-3.253360748
3.442,-1.526144743,1.20897913,-4.44198513
3.5,-1.165513515,1.73530817,-2.206941128
3.559,2.384709835,2.194046021,-0.897844791
3.624,2.005779743,0.673818111,-0.120184422
3.684,-0.682945728,-0.898072243,2.68590641
3.745,2.183265686,-0.402563095,1.884205818
3.805,-0.781699181,-1.077720165,1.177987099
3.863,-0.296131849,-0.881282568,1.568274498
3.929,-0.238064528,-0.284745216,1.006342888
3.987,-0.090270281,-0.293423414,1.48591423
4.045,-0.841620207,0.99743557,2.047751427
4.109,-0.550658941,0.761413336,-0.562116623
4.169,0.636821985,-0.298492908,-1.457992554
4.23,0.030528307,-0.343887568,-0.482167244
4.29,-0.067403793,0.29176259,-0.39553833
4.35,-0.133899212,-0.143059015,0.123874664
4.411,-0.989420891,-0.255677223,-0.355133057
4.467,-0.520729542,-1.151736975,0.042378426
4.528,-0.327784061,-1.678077698,1.326637268
4.589,-0.619810104,-0.476527691,-0.953260899
4.65,-0.138454914,-0.416479111,-1.363137722
4.709,-0.137178898,-0.132539272,-1.195969105
4.771,-0.354241371,0.302112579,-1.885198593
4.83,-0.162222385,0.062846184,-1.215065956
4.891,-0.006160736,0.379093647,-0.214812279
4.951,0.358224392,0.484243393,-0.328686714
5.012,0.659810543,0.179688454,-0.070363045
5.072,0.214331627,0.132630825,-0.248873234
5.136,0.558173656,0.925945759,-1.188838959
5.193,0.466996193,1.17792511,-1.817754269
5.253,-1.443757534,0.529668331,-2.015732288
5.314,-1.287844658,-0.341752052,-0.017296314
5.377,0.006886959,0.912180424,-1.260804176
5.437,3.166144371,-1.957654953,2.31475544
5.496,-1.22217989,0.13547039,0.371666431
5.556,1.751245975,-1.139705181,0.659825325
5.621,-0.340661049,-0.002802849,0.270210743
5.678,-0.153272629,0.089595318,0.426294804
5.739,-0.403110027,0.443887234,-0.418883324
5.801,-0.477449894,0.431906223,-0.982645512
5.859,-1.002014637,-1.910390854,-1.204023838
5.919,-1.536630154,-2.068571568,0.747656345
5.98,0.772077084,-2.310594559,-0.305090904
6.044,2.889971256,-1.668576002,0.210124016
6.103,-0.742066383,1.594746828,-1.944830894
6.161,-0.676570415,0.334327698,0.532344818
6.222,0.929347038,-1.850662589,-1.032124043
6.283,1.839752674,-2.4867661,-0.523367882
6.344,-1.060698032,2.347460032,0.761042595
6.408,0.987407684,-0.700320959,1.347824574
6.464,-0.102323055,-1.04235673,0.31562233
6.524,-2.018612385,-1.743090868,2.122652054
6.588,0.485087872,0.147694111,0.66800499
6.646,-0.547254562,-0.509899378,-0.181322575
6.707,0.234821796,-0.005153656,1.396037579
6.769,-0.28781271,-0.169491768,0.571267605
6.826,-0.238432884,-0.0359478,0.169409752
6.887,0.015202522,-0.183215141,0.283668518
6.962,0.158737183,0.245913982,-0.098705292
7.029,-0.380636692,-0.341600418,0.45932579
7.091,0.354718208,0.064637184,-0.488869667
7.15,0.078007221,0.147302628,0.218937397
7.212,0.022927761,0.175583363,0.151123524
7.274,0.392051697,0.136011124,-0.045661926
7.331,-0.10477972,-0.013279438,0.218803406
7.393,0.121381283,0.00694561,0.012695789
7.457,0.069348812,0.017662048,0.015542507
7.513,0.053380489,0.015451908,0.034415245
7.578,0.01017952,0.034909248,-0.094329357
