time,x-axis,y-axis,z-axis
30.304,-0.030498326,-0.103643417,-0.193822861
0.034,0.491363883,0.56218338,0.025875092
0.275,-1.46E-06,-1.99E-05,1.11E-05
0.348,2.642249346,-0.289551258,1.464890838
0.429,2.835165977,1.176058769,0.646162093
0.51,2.500612736,0.036394816,0.388403118
0.59,1.964025497,0.03589242,1.170684576
0.671,3.602845669,-0.078360423,-0.900522649
0.751,3.9889853,-0.384695649,0.012089082
0.832,4.492133617,-0.556049705,-1.756991029
0.913,2.583252192,-1.068131685,1.537700534
0.997,2.45899868,0.577095389,-0.14579846
1.078,-0.400865644,2.89934206,3.413054466
1.16,-0.938550591,4.340270519,2.038564444
1.239,-1.999631882,3.835558653,-2.070185423
1.32,-4.386798382,3.469365358,-2.767366409
1.401,3.563367367,1.570622444,9.944393158
1.483,2.859270334,-3.47694087,4.190234661
1.561,1.992130756,-2.519210815,-6.698156834
1.644,1.677503228,-2.739770174,-4.599047661
1.722,3.270821571,-2.053926229,-5.343215942
1.804,2.247660875,1.224654317,1.853791952
1.884,3.162078142,3.491721153,6.692511559
1.969,-2.367262602,4.08032465,-2.4820261
2.046,-4.737217903,1.026487231,-2.144841671
2.126,-8.253083229,3.080205441,-0.276780486
2.207,11.21011257,1.08946085,13.57564735
2.289,-0.567553222,-5.49454689,-3.463807583
2.371,0.426713854,-6.951063633,-8.675503731
2.452,0.500396073,-4.824353695,-8.335442543
2.533,2.60207963,1.575606585,-2.810953617
2.614,8.600156784,4.353441238,18.2563343
2.693,-3.87647438,3.510492325,-5.343505859
2.774,-4.702155113,1.197622061,-0.178891167
2.856,9.088223457,4.075309277,14.48645401
2.936,3.027945042,-5.604354858,1.187712312
3.015,1.63225925,-7.140214443,-10.31816483
3.097,1.275690079,-7.949647427,-9.210767746
3.178,4.001346111,-2.756176472,-10.79318237
3.254,15.34405518,6.855040073,29.2523613
3.338,-5.763195992,4.659313202,-4.074013233
3.42,-8.042664528,1.528432131,-2.203171253
3.497,-6.336657047,2.770085573,-9.307896614
3.579,16.29802895,5.646844387,27.71771431
3.657,0.845220149,-10.33509731,-5.285996914
3.737,0.945134223,-10.84321404,-14.38009834
3.822,-1.093554378,-8.661062241,-11.60355663
3.905,7.254921913,-2.624072552,-7.572311878
3.983,15.56210518,5.197761536,33.89122391
4.06,-3.413060427,4.843375683,-6.918886185
4.145,-8.713889122,2.585446835,-2.001020193
4.227,-7.720499516,2.631487846,-8.342609406
4.306,16.73365211,2.918613195,33.8362999
4.382,2.008008718,-10.24441242,-6.113239765
4.467,-0.279789597,-10.71378803,-16.11944771
4.549,-0.478490949,-8.710842133,-12.06895924
4.628,5.589586735,1.104234099,-4.728472233
4.708,12.99725628,5.448054314,33.18362045
4.786,-2.922816038,2.742516518,-5.729674339
4.87,-6.107555389,-0.142322242,-6.891465187
4.951,-4.910916328,-0.998941958,-7.722573757
5.03,5.747019291,4.686393738,11.52103043
5.107,5.347946167,-4.474960327,8.087641716
5.189,1.521106839,-4.261753559,-9.79330349
5.268,1.340179563,-5.425568581,-10.43437767
5.35,4.975021839,-2.194384098,-6.966751099
5.435,4.50370121,-2.53803277,23.58482742
5.513,0.970531404,4.32486248,0.346978039
5.595,-3.412010431,2.474779606,-3.545796394
5.678,-4.465542316,0.940787494,-6.789558411
5.76,-9.056706429,5.43054533,-0.102426358
5.835,13.26887608,-1.397018433,23.34084702
5.914,-0.79946506,-7.413224697,-7.335863113
5.996,-0.225302801,-8.47279644,-13.17891788
6.082,-0.883210719,-6.899866104,-11.13710976
6.161,-1.672969341,-0.650693893,-1.088330626
6.239,10.6809988,1.667002916,21.1804924
6.318,-1.897717476,1.246181726,-5.77839756
6.405,-4.052195549,-2.20915699,0.566798031
6.487,-4.423962116,-5.131111145,-0.547038853
6.567,-6.089250088,-2.14867115,7.397473812
6.643,1.277101159,-4.357069016,11.9034462
6.723,-1.725453734,-5.932482719,-4.621973515
6.806,-1.461169124,-5.148436546,-5.589753628
6.887,-1.766021609,-4.190212727,-2.581588268
6.969,0.499335736,-1.30348444,4.738992691
7.046,0.191117033,1.248173475,4.757369995
7.124,-0.276155919,3.046174765,-0.036381811
7.205,-2.412931442,0.297926426,-2.64369607
7.289,-6.124469757,-0.736147463,-4.292529106
7.372,-10.18594646,6.55086565,8.654525757
7.446,5.772788525,-3.94842124,14.33860397
