time,x-axis,y-axis,z-axis
0.133,-0.077943981,0.07000351,0.15582943
0.199,0.05674541,0.107615471,-0.001596451
0.267,-0.075691342,0.017745972,0.197232246
0.332,-0.566342831,1.729571342,0.320782185
0.386,0.056060791,8.93E-04,-0.036270142
0.443,0.039797783,-0.400995255,0.139318943
0.514,0.210809767,0.589584827,-1.507027149
0.575,-0.444559455,0.075471878,0.260995865
0.646,1.180582166,-0.494576931,0.126466751
0.708,-1.458551049,0.633542061,0.461728096
0.768,-1.525656819,-1.355351448,-1.368508339
0.828,-1.278378487,0.98649025,-3.355306864
0.888,-1.264456868,0.20682621,-3.110795736
0.948,-2.42139101,0.756598473,1.208346367
1.008,-1.268696666,1.84481287,3.098110199
1.068,1.492080927,0.784042835,0.883441925
1.128,0.592795253,1.581419468,2.652195454
1.188,1.274477124,-0.512392044,-1.276969433
1.249,0.219506532,-1.027092934,-1.985821247
1.309,-1.308637619,-1.085146427,-2.532524109
1.369,0.884498477,-0.323603153,-2.919594049
1.429,1.860604763,-3.668204069,2.795603275
1.49,0.652901649,-2.36276865,-1.839485168
1.549,2.518363953,0.436552525,-0.60014677
1.609,4.302225113,4.34110117,5.328935623
1.669,2.687477827,3.908266544,1.977315426
1.728,-0.874393344,1.34738493,-3.36546731
1.789,-1.120754957,-1.706410408,-4.843508244
1.849,-1.398927569,-4.238418102,-5.205004215
1.909,-6.201874733,1.983881474,-1.801558971
1.969,11.68942833,6.90973568,17.35735703
2.029,6.126207352,3.416543007,7.887493134
2.089,1.452061296,-1.675031185,-2.213776112
2.149,2.151916981,-7.451064587,-3.118799686
2.209,1.636378288,-8.691894531,-5.934033394
2.27,1.284472942,-7.369826794,-1.834086657
2.329,2.543213606,0.987309456,1.027521133
2.389,3.34518671,6.946839333,10.53091812
2.449,-2.204440832,4.017828941,-0.693834782
2.509,-1.898231506,-3.084999084,-7.336382866
2.569,-6.124192715,-6.196507454,-5.67827034
2.629,-5.505905151,3.407813549,-0.331234932
