time,x-axis,y-axis,z-axis
0.058,0.131884575,-0.009836674,-0.120697498
0.159,0.0762887,7.52E-04,-0.142440796
0.261,0.029345989,-0.015215397,-0.065493584
0.318,0.046591282,-0.026468992,-0.138880253
0.37,0.025497437,0.059947968,-0.12138176
0.428,0.068742752,-0.083680391,-0.040482521
0.489,0.133047581,-0.156501055,-0.080522537
0.548,0.206273556,-0.127837896,-0.078931808
0.608,0.273287296,0.115730286,-0.453888893
0.668,0.627824783,0.006592274,-0.662850857
0.728,0.792811394,-0.179169416,-0.662072182
0.791,0.218247414,0.761611938,-1.140737295
0.849,0.696516514,0.34692049,-0.561280966
0.91,1.112725735,0.519026279,-0.523930311
0.969,1.092095375,-0.493975163,0.505425692
1.029,-0.2148242,0.191218853,0.071400166
1.089,-0.64876318,0.811058044,-0.233932674
1.149,-0.157342911,2.179941177,-1.208600163
1.21,-0.847954273,0.888158798,-0.382054627
1.269,0.42616272,0.298888206,0.632061481
1.331,1.079045773,-0.265222549,1.034947753
1.399,0.627482891,0.477427483,0.334836245
1.456,-0.065587997,0.493294716,-0.366017222
1.52,0.337749481,0.257519722,-0.336107612
1.583,0.281436443,0.284117699,-0.429334164
1.636,-1.190186024,-0.232807159,-0.459110737
1.7,-0.213662148,0.028903961,-0.11402452
1.756,-0.120898247,-0.087135315,-0.545417309
1.813,0.147863388,0.045308113,-0.582809687
1.873,0.315686703,0.120742798,-0.588081002
1.933,0.453440189,0.086367607,-0.641138315
1.995,0.06418848,0.168558121,-0.647044301
2.057,0.1038661,0.00292778,-0.549798369
2.117,0.108199596,0.159172058,-0.519652247
2.179,-0.106832504,0.003136635,-0.394192219
2.244,-0.0307827,0.042381287,-0.335252643
2.298,0.026975155,0.203081131,-0.349049568
2.358,0.05057478,2.10E-05,-0.40261972
2.423,0.111896038,-0.101945877,-0.258107662
2.486,0.177918911,-0.035503387,-0.159583569
2.548,0.041152954,0.090335846,-0.153511763
2.608,0.058322906,0.007338524,-0.221107841
2.663,-0.092533112,0.016769409,-0.120271087
2.722,-0.005095005,-0.093545914,-0.146673083
2.781,0.096142769,-0.068170547,-0.096634984
2.841,0.050343037,0.018638611,-0.087066531
2.906,0.05755043,0.018578529,-0.075722337
2.967,0.083141327,-0.096404076,-0.106689215
3.026,0.026527882,-0.097973824,-0.050405025
3.088,-0.001660347,-0.039842606,-0.050448298
3.153,0.011936665,-0.017227173,-0.079765081
3.206,0.01723814,0.060055733,-0.045831323
3.274,0.050051689,-0.010026932,-0.068914056
3.332,-0.030004025,-0.062225342,-0.068912506
3.394,-0.043573856,-2.38E-05,-0.080087066
3.458,0.015529633,-0.023915291,-0.035284042
3.515,0.030502796,-0.029345512,-0.034332395
3.579,-0.014609337,0.068098068,-0.026060104
3.641,0.015585423,-0.060548782,-0.036456704
3.693,0.043390751,-0.030243874,-0.02601397
3.751,0.03040123,-0.075287819,-0.052847147
3.808,0.025435925,-0.030431747,-0.008149028
3.878,0.007758617,-0.046613693,-0.008448958
3.935,0.012068272,-0.047823906,-0.001864314
3.994,0.015229702,-0.03986454,0.029604793
4.061,0.055632591,-0.102748871,0.044518352
4.123,0.012185097,-0.065308571,0.029961586
4.18,0.012448788,-0.048396111,0.064973116
4.24,0.027447224,-0.016055107,0.076400518
4.303,-0.075959206,-0.080032349,0.088491797
4.36,-0.055723667,-0.065530777,0.092392802
4.423,-0.074567318,-0.022472382,0.125083447
4.479,-0.050520897,-0.00224781,0.043121934
4.541,-0.05173254,0.053653717,0.032116175
4.603,0.019181728,0.055649757,0.174356461
4.664,-0.063682079,-0.046947479,-0.039435983
4.725,-0.018177509,0.125374794,-0.071937799
4.784,0.013836384,-0.233291626,-0.15034771
4.843,0.164812088,-0.052192688,0.045958638
4.903,0.104598999,-0.008864403,-0.135000825
4.964,0.116079807,0.098464012,-0.05632627
5.022,0.088958263,-0.055330276,0.069115162
5.084,-0.017862797,0.306687355,-0.028217673
5.142,0.109230995,-0.237580299,0.085290074
5.202,0.052480698,0.18685627,0.123236656
5.262,0.046225548,0.047515869,-0.201182902
5.323,0.277879715,-0.339456558,-0.031103849
5.384,0.198940754,-0.272488594,-0.009765506
5.443,0.015182972,0.325388908,-0.14693594
5.509,0.128634453,-0.099358559,-0.136246204
5.562,-0.262337208,-0.220027924,-0.197489083
5.628,-0.351747513,-0.007790565,-0.191553116
5.688,-0.239456177,0.277294159,-0.053507924
5.743,-0.130105495,-0.049908638,-0.028613329
5.801,0.268482208,-0.185723305,0.224561572
5.865,0.183372498,-0.372537613,0.025114596
5.925,0.352091789,0.12944603,-0.031263232
5.987,0.402288914,0.567872047,0.192681074
6.047,0.021428585,-0.099660873,0.25955236
6.112,-0.391719341,-0.378176689,0.050149798
6.169,-0.130496979,-0.010482788,-0.27034837
6.232,-0.021946907,0.322626114,0.151923776
6.29,0.098501205,0.011709213,0.093603253
6.351,0.026701927,-0.275603294,0.136161923
6.414,0.055307388,-0.20257473,-0.037070632
6.465,0.107290745,0.152462959,-0.060683608
6.53,0.152348042,0.062552452,0.191891789
6.593,-0.18921566,-0.179309845,0.042393327
6.654,-0.086056709,-0.03011322,-0.077556491
6.716,-0.007359505,0.049077034,0.03964138
6.779,-0.026868343,-0.022596359,0.148857951
6.832,-0.106507778,-0.025034904,-0.091514945
6.889,-0.069948196,-0.066365242,0.026113868
6.956,-0.035505772,-0.060706139,-0.005588293
7.021,-0.009182453,0.022053719,0.027204633
7.08,0.038622856,-0.098276138,-0.052191854
7.139,0.036904812,-0.061341286,0.023904681
7.201,0.058508873,-0.069519997,0.03464818
7.262,0.061752796,-0.028536797,0.038747907
7.322,-0.026483536,-0.076142311,0.029050112
7.382,-0.001316071,0.063890457,0.056633472
7.441,-0.073160172,-0.102852821,-0.005603075
7.501,0.046370506,-0.152145386,0.091051936
7.56,0.049013615,-0.027949333,0.036554813
7.62,0.060857296,0.040358543,-0.039645433
7.682,-0.03637886,-0.127161026,-0.030974507
7.738,-0.030661583,-0.147609711,-0.053315639
7.801,-0.042996407,-0.039808273,-0.056646228
7.865,0.013008595,-0.099637985,-0.046162486
7.933,-0.024099827,0.114181519,0.117205262
7.993,-0.034627438,-0.054418564,-0.003138542
8.053,-0.037146091,-0.098460197,0.090589404
8.105,-0.029989243,-0.032021523,0.074071288
8.156,0.025194645,0.003687859,0.06436193
8.224,0.072305679,-0.032826424,0.110395312
8.284,0.012373447,-0.012480736,0.029615879
8.343,-0.022308826,0.022520065,-0.002218723
8.404,-0.091422558,-0.066371918,0.007737875
8.471,0.092271328,-0.161973953,-0.029600263
8.537,0.182411671,-0.062866211,-0.046858191
8.597,0.100198746,-0.07197094,-0.089990854
8.663,-0.043222904,-0.03550148,-0.028687716
8.723,-0.03501749,-0.153149605,-0.015730023
