time,x-axis,y-axis,z-axis
0.069,-0.150831223,0.026368618,0.04797554
0.17,0.438070297,0.185799122,0.186586618
0.238,-0.001708031,-0.260366201,0.277828932
0.299,0.570659637,-0.178203344,0.227844954
0.359,0.302686691,-0.073038578,-0.189087391
0.42,0.184771538,0.25418067,-0.316346407
0.481,0.078568459,-0.237382412,0.099174738
0.541,-0.452365875,0.289388418,0.072896719
0.631,-0.511043549,0.47122097,0.125058174
0.706,-0.097006798,-0.117572308,0.59840107
0.762,0.502292633,-0.336775541,0.01480794
0.831,0.826479912,-0.055047274,-0.226892948
0.892,0.436383247,0.247737169,-0.215827703
0.951,1.063689232,-0.453146458,-0.079638004
1.007,0.012916565,0.187658548,-0.098667383
1.074,0.468081474,0.100679874,0.202349186
1.135,0.176952362,-0.081321955,0.043072462
1.196,-0.116641998,0.025974989,-0.077530861
1.251,0.228971481,0.001776695,-0.100720644
1.313,0.071629524,0.453683376,-0.225045443
1.377,0.702461243,0.780170918,-0.096227407
1.438,-0.031980515,0.343095064,-0.383551598
1.496,0.983916283,-0.044282436,-0.322444439
1.56,0.21229744,0.472857952,-0.457896471
1.62,0.095874786,1.098319292,-0.980614185
1.681,0.193132401,0.502088308,-0.218370676
1.74,0.287203789,-0.094733238,-0.544117451
1.801,0.267056465,-0.335746765,0.025187731
1.862,0.228488922,0.47998476,-0.295123577
1.919,-0.030746937,0.657035828,-0.275522709
1.978,0.470283031,0.300254822,-0.069921017
2.034,0.632478714,-0.075685501,-0.035476923
2.098,0.61272049,0.421133995,-0.707502127
2.159,0.487715721,0.505225182,-0.910587072
2.222,0.083673477,0.516359806,-0.578042507
2.281,-0.560946465,0.390971184,0.107800484
2.345,0.253090858,-0.149556637,0.340465307
2.406,-0.267417908,-0.516286373,-0.023249388
2.467,0.56139946,-0.063613415,-0.111503124
2.528,0.245455742,-0.078751564,0.09608078
2.588,0.038890839,0.295410156,0.101298809
2.648,-0.011367798,-0.552273273,0.463757038
2.709,-0.555066109,-0.173938274,0.117747784
2.771,-0.304000854,-0.894320011,0.509008408
2.827,-0.055213928,0.024609089,0.27432394
2.891,-0.0253582,0.171438456,-0.107507706
