time,x-axis,y-axis,z-axis
0.246,-3.21E-06,-1.15E-04,9.18E-05
0.324,-1.387396097,-1.339742064,0.636768818
0.404,-0.015648236,0.499221444,-3.642424822
0.485,-2.72026372,1.777335048,-0.576113522
0.566,-4.082069397,1.868972778,-1.76184833
0.646,-2.996941328,1.151606083,2.607890129
0.727,-1.766272902,0.895448387,1.616329312
0.808,-3.280502319,-0.141644776,-2.417579174
0.888,8.177481651,0.373580545,9.099666595
0.973,-5.471540928,-6.299051285,4.466088295
1.059,-10.37908459,-0.858934462,-6.641187668
1.133,-3.99454093,-16.76321411,-1.820569754
1.214,1.911936641,-13.03699875,28.21287155
1.293,-18.65227699,2.459799051,-21.15077019
1.373,-15.70787907,-25.9269619,-0.167724177
1.455,9.26364994,-6.124827385,18.5528183
1.535,-11.3437748,-9.43765831,-4.486104012
1.617,-1.879581571,-13.16952896,-12.15495777
1.698,3.241990566,-4.780406952,16.40413284
1.781,-1.692031384,-2.280813932,2.800098896
1.862,1.66344583,-3.772889137,0.558436453
1.942,-9.389910698,-2.085696936,-0.296922207
2.022,-8.088384628,-1.396049857,-6.594634056
2.102,-13.03203773,-26.29554367,10.29714012
2.182,5.416840553,-19.27990723,2.046481848
2.264,-4.268927097,-17.83051872,-9.45814991
2.343,-8.118439674,2.929412842,-22.58413696
2.427,-11.81843662,-9.047868729,-9.927197456
2.506,-11.67858505,-24.74804497,9.998620987
2.585,-3.093441486,-14.79457188,12.8077116
2.666,3.029368401,-11.27890491,-6.014477253
2.746,-10.10737038,0.427871794,-10.34783077
2.83,-7.71041441,-15.7252655,-7.211494446
2.907,-2.97359705,-10.30091858,14.57242298
2.99,-4.83031559,-7.920314789,12.0275507
3.07,-4.164058685,-7.423802853,-6.282256603
3.151,-2.015176058,-4.695494652,-16.93278313
3.229,10.15916729,-11.2088623,28.41287613
3.314,-16.97156906,5.330919266,-17.52633476
3.392,9.00234127,-8.201249123,25.81742477
3.475,14.54390049,-6.332827091,-10.69532967
3.557,-23.5353775,2.547061443,5.529209614
3.639,15.81101799,-11.33495235,15.17252064
3.718,4.977372169,-5.37357235,-19.51745415
3.799,-22.03149986,3.815365553,15.96366119
3.879,16.62586784,-12.80473518,9.496621132
3.956,-10.28927135,-0.455031008,-12.62985134
4.035,-7.996453285,-1.530617356,20.07375336
4.115,15.86757565,-3.895972013,-8.072398186
4.201,-23.4328804,0.803024352,3.042378664
4.282,10.06593513,-8.46903038,9.155406952
4.363,-0.116757669,-4.054083824,-12.93405724
4.44,-17.13273239,2.15854907,14.21534443
4.522,18.49726486,-6.630748749,-3.718197346
4.605,-21.73848915,-0.733833909,0.509828746
4.683,12.50519371,-10.23027229,9.123569489
4.763,0.624506116,-5.292354584,-10.37986755
4.842,-12.58885384,-0.068760529,19.07055092
4.922,19.25451469,-5.878694534,-7.445271015
5.002,-23.8769474,0.973939717,2.46184206
5.083,18.15544701,-11.32558727,13.17684841
5.164,-5.818149567,-6.104146957,-11.97797585
5.245,2.483066082,-6.039927483,14.27753162
5.325,10.88543892,-6.223237038,-10.70051289
5.407,-23.05784988,0.801547587,18.7057991
5.488,21.78473282,-5.747959614,-4.070279121
5.569,-23.1586895,0.263754994,2.19092536
5.65,11.98301411,-9.15696907,8.972777367
5.73,-0.892142892,-4.58186388,-9.20678997
5.811,-8.075819016,-0.358445793,16.49657059
5.892,12.25077152,-5.488050461,-9.383638382
5.978,-18.87934875,1.338287473,12.27559376
6.057,14.99049854,-5.032470703,-2.947424889
6.135,-19.20622826,-0.367725074,1.251361489
6.217,11.11304188,-9.395567894,5.378738403
6.295,-3.647340775,-3.134454489,-8.511012077
6.375,4.613613605,-4.293302536,12.81059456
6.458,5.041444302,-6.284169197,-9.00766468
6.54,-10.68025303,0.513495207,13.94621277
6.621,19.85227394,-6.831077099,-3.21964097
6.697,-22.62737656,1.828284502,1.684766889
6.778,7.388177395,-6.823188305,-1.143646955
6.864,-4.754646301,-4.003128529,-2.234417915
6.943,4.827450752,-5.95124054,12.08743954
7.025,5.775196075,-3.824928761,-10.34080219
7.105,-11.13596058,0.796883941,12.12441254
7.188,14.40184879,-5.115356445,-3.850785017
7.262,-19.9778595,1.749853969,13.74054337
7.342,13.74419308,-5.743598461,-2.940819025
7.429,-8.006390572,-0.771895647,-0.907754064
7.508,-1.097551465,-1.670685768,2.771509886
7.589,2.523256063,-1.414013743,1.621630311
7.673,-6.186598301,-5.719585896,-2.435812235
7.748,3.356209517,0.433892071,2.398077011
7.825,2.831185579,-3.301220655,13.58073902
7.906,-15.67661572,1.590581656,-5.169119835
7.992,3.730694056,-7.52842474,1.899768114
8.073,0.445601493,1.669818044,-1.247911572
8.149,1.52397573,-3.759884834,0.68384856
8.232,-5.524242401,-3.507588863,1.624399781
8.315,0.089135498,-3.125163078,-3.163042545
8.39,-2.586220026,-4.377488136,11.52340412
8.471,0.868034005,-2.398343801,-12.02198505
8.558,7.727865219,-7.374979496,20.12327766
8.637,-0.615223646,-3.08835125,-8.444108963
8.719,3.463904142,-3.16699028,4.899709225
8.799,1.691319942,-4.589862347,1.298469782
8.881,-5.053863049,-6.55620575,-0.347691149
8.964,-17.89541435,-8.921456337,-10.54687309
9.035,12.79950523,-24.13292694,6.622303963
9.116,2.483617067,-5.709734917,11.19172478
9.204,-3.299891472,-4.948820591,-0.060086515
9.281,-4.507567406,-4.346415043,-16.17228317
9.366,-0.146081373,-6.653729916,4.71673584
9.438,4.814538002,-11.51663399,14.97951889
9.519,-1.006896257,-1.221107364,-5.789159775
9.605,4.662510395,-5.423515797,6.638955116
9.685,1.049675703,-3.435317516,-5.640825748
9.766,1.8971138,-2.611055613,12.32400227
9.847,0.311364889,-7.103939056,-12.43792248
9.922,0.77581197,-0.589074135,21.87344551
10.007,1.876768827,-3.574927092,-11.30428886
10.09,3.790534496,-6.223138332,17.06727982
10.168,8.417457581,-3.554873705,-12.26348686
10.245,10.53476524,-4.059306145,-8.327640533
10.326,-13.38045025,-1.639463663,12.28773308
10.412,12.50951672,-5.039847374,-5.852970123
10.496,-28.16629219,8.698190689,12.98235035
10.575,11.13370991,-5.649279594,1.278600693
10.653,-7.54736948,-1.438977122,6.75154686
10.735,-4.805259228,-5.030888081,-4.68030262
10.818,-9.680082321,-6.241378307,-12.27983952
10.895,39.19353104,-31.19886017,12.29545689
11.02,4.252041817,-11.49724674,12.98811436
11.101,-6.781716824,-9.12079525,-4.672300816
11.182,-1.73575592,-1.46526432,-3.807124615
