time,x-axis,y-axis,z-axis
0.029,-0.007013917,-0.230710506,-0.198862076
0.109,-0.046122491,-0.166450024,-0.028656483
0.211,0.097967476,-0.109300613,-0.090248108
0.268,0.050569594,-0.132023811,-0.290233612
0.335,0.218545765,-0.054856777,0.127628803
0.394,-0.006522685,-0.071250916,0.27332592
0.454,0.026665449,-0.006745338,0.220667362
0.514,0.10883683,0.018566132,-0.316944599
0.574,-0.021641195,-0.138616085,-0.42619276
0.634,-0.068047613,-0.187154293,-0.312595844
0.695,0.025248796,-0.181725502,-0.252364159
0.755,0.029581487,-0.164801598,0.183351994
0.816,0.013320535,-0.035425663,0.092161655
0.875,-0.002647877,-0.095889091,-0.161361694
0.934,0.334815443,0.021473408,0.025525093
0.995,-0.061391294,-0.096997738,-0.205483913
1.055,0.173562229,-0.110648632,-0.069038868
1.116,-0.077491596,-0.126586914,-0.279332161
1.175,-0.108054578,-0.134701729,-0.117927551
1.238,-0.022245213,-0.116521358,-0.317549229
1.304,0.095206484,-0.104527473,-0.213609219
1.365,-0.052299067,-0.099033833,0.066633224
1.422,0.116130114,-0.063042641,-0.220099449
1.489,0.131975472,-0.02339077,0.003092289
1.547,-0.018278956,-0.127007008,-0.216691494
1.608,-0.024735063,-0.135704041,0.010188103
1.673,0.140499175,0.010028839,-0.24395752
1.741,-0.111565933,-0.112751007,0.015620708
1.8,-0.126116216,-0.169200897,-0.16976881
1.859,-0.072095141,-0.211287498,-0.134375572
1.927,0.147906914,-0.018385887,-0.099775314
1.989,-0.046464086,-0.160865307,-0.446277142
2.052,0.264155924,-0.055303097,-0.010233879
2.112,-0.073839068,-0.147298813,0.022665977
2.169,0.016583115,-0.093355656,-0.081767559
2.231,-0.005505458,-0.101642132,-0.101449966
2.29,0.112705544,0.025035858,-0.046198845
2.352,-0.040172294,-0.059152603,0.023368835
2.411,0.240103275,0.045174599,-0.004318237
2.467,-0.040355533,-0.113468647,-0.222804546
2.53,-0.009670764,-0.156219482,-0.108906746
2.591,0.024674356,-0.095789909,-0.185583115
2.65,-0.063800499,-0.154993534,-0.348987579
2.713,-0.034199789,-0.098127365,-0.235425949
2.77,-0.067291111,-0.04027319,-0.568854332
2.832,-0.115674399,-0.186507225,-0.200440407
2.894,-0.075950295,-0.207350731,-0.169964314
2.956,-0.044502124,-0.204536915,0.269875526
3.016,0.043878466,-0.147276402,0.392356873
3.079,0.153883725,-0.030100822,-0.016662598
3.13,0.090360641,-0.067481518,-0.226550102
3.195,0.150973022,-0.119793415,-0.494727135
3.255,-0.012124836,-0.2853899,-0.476538658
3.315,0.084472477,-0.044205666,-0.002542496
3.375,-0.174839124,-0.24640274,-0.304009438
3.437,-0.123199679,-0.205913067,0.212079048
3.499,0.022965282,-0.015551567,0.091257095
3.558,0.237272859,0.027119637,-0.058981895
3.618,0.127451628,-0.055547237,0.177352905
3.677,0.247293741,-0.044164658,-0.164650917
3.738,-0.107382745,-0.207679272,-0.227581024
3.801,0.076213032,-0.145851135,-0.196403503
3.857,-0.043645591,-0.15617609,-0.004536629
3.924,0.149544209,-0.035463333,-0.040599823
3.982,-0.012426525,-0.087985992,-0.101940155
4.049,0.077283204,0.001744747,0.005912781
4.121,-0.028611541,-0.057008743,-0.404677391
4.183,-0.103452414,-0.097125053,-0.242659569
4.244,-0.055108219,-0.05946064,-0.204154015
4.306,-0.071385831,-0.105449677,-0.097561836
4.367,-0.078630298,-0.070893288,0.064980507
4.428,-0.016375393,-0.058586597,0.193861008
4.486,0.154574126,0.005927563,-0.156180382
4.548,0.170104474,-0.006057262,-0.461866379
4.609,0.050627112,-0.136458397,-0.206550598
4.67,0.068177104,-0.115046501,-0.335953712
4.728,-0.030142128,-0.082695484,-0.500637054
4.79,-0.158891246,-0.085229397,-0.170488358
4.852,0.088489532,0.042809486,-0.15711689
4.909,0.07443133,0.041847229,0.020989418
4.969,-0.055047423,-0.115421295,-0.061081886
5.029,0.019738495,-0.108783722,-0.239153862
5.089,0.056566536,-0.107045174,-0.22332859
5.15,0.02482456,-0.054186344,-0.120985031
5.212,2.57E-04,-0.035158634,-0.063923836
5.272,0.065643132,-0.053853989,-0.073907852
5.33,-0.005414367,-0.073763847,-0.269380569
5.39,0.009884864,-0.100710869,-0.111081123
5.45,-0.015572757,-0.100239754,-0.049600601
5.51,0.075518698,-0.020721912,-0.001654625
5.57,-0.021212369,-0.046360493,-0.238515854
5.631,0.028398633,-0.058051109,-0.357933044
5.693,0.115576088,-0.041358471,-0.310674667
5.754,-0.063892335,-0.081608295,-0.056715965
5.817,0.094233394,-0.039816856,-0.020689964
5.873,0.076225311,-0.033813,-0.113695145
5.936,0.051619291,-0.030632019,-0.259519577
5.994,-0.151320383,-0.075444698,-0.348290443
6.055,-0.344168991,-0.301385403,0.03531456
6.117,-0.020660788,-0.140274525,-0.116407394
6.179,0.541491151,0.204434872,-0.24941349
6.244,0.493144453,0.172356129,-0.276935577
6.303,-0.082769036,-0.171858311,-0.116621971
6.365,-0.330539167,-0.210791111,-0.042520523
6.424,-0.494284511,-0.350677013,-0.090726852
6.483,0.084943444,-0.016853809,-0.182366371
6.547,0.2048693,0.124507904,-0.171542168
6.606,0.285039842,0.06315279,-0.219274521
6.668,-0.052711457,-0.148986816,-0.246914864
6.729,-0.233204305,-0.246377468,0.128349304
6.788,0.076550484,-0.045412064,-0.329759598
6.848,0.168645889,-0.040667534,-0.221331596
6.915,0.115557611,-0.013666153,-0.345048904
6.968,-0.069564819,-0.162683487,0.037960052
7.033,-0.133184493,-0.14124918,1.79E-04
7.097,0.016788036,-0.035054207,-0.119709969
7.154,0.232650816,0.090190887,-0.337543488
7.215,-0.040820748,-0.085524559,-0.034371376
7.276,0.023982644,-0.054531097,-0.144358635
7.338,-0.151714414,-0.200080395,-0.184569359
7.396,0.170814991,0.011914253,-0.071186066
7.46,-0.130462438,-0.159611702,-0.215041161
7.521,0.121706426,-0.039336205,-0.034397125
7.576,0.0975191,0.001822472,-0.30331707
7.64,0.068272501,-0.044540882,0.040258408
7.702,-0.128875256,-0.151427269,-0.213873863
7.762,0.011571646,-0.071097374,-0.073846817
7.824,-0.052143455,-0.077400208,-0.253119469
7.879,0.056068599,-0.031832218,-0.135750771
7.942,0.016880035,9.50E-04,-0.184911728
7.993,-0.155586123,-0.142923355,-0.08022213
8.053,0.159940869,-0.039058208,-0.157993317
8.121,0.006010711,-0.082713127,-0.229430199
8.18,0.118247569,-0.065568924,-0.123106956
8.24,-0.032532811,-0.105973721,-0.23428154
8.3,0.050305516,-0.078044415,-0.036463737
8.361,0.004871398,-0.033949375,-0.218031883
8.424,0.010416627,-0.043693066,-0.246589661
8.483,-0.014962584,-0.106812477,-0.213567734
8.543,0.011751443,-0.054794312,-0.264169693
8.603,-0.040096223,-0.081309795,-0.133681297
8.663,0.08451739,-0.013314724,-0.209449768
8.724,-0.012506425,-0.077068806,0.245482445
8.784,0.002140522,-0.034847736,-0.119695663
8.844,0.053744256,-0.061849117,-0.345263481
8.906,-0.106800109,-0.154579639,-0.248262405
8.967,-0.067746103,-0.11879158,-0.173913956
9.031,0.138753504,0.032649517,-0.200386047
9.088,0.092396677,0.029775143,-0.165457726
9.152,0.110080838,-0.004175663,0.058765411
9.21,0.006695688,-0.097061634,0.139806747
9.27,0.144306153,-0.02478981,-0.189817429
9.332,0.020210981,-0.088185787,-0.471587181
9.394,0.018594861,-0.173278809,-0.089365005
9.453,0.061017632,-0.028787136,-0.343130112
9.513,-0.08447367,-0.144708633,-0.12279129
9.572,-0.112837106,-0.100997448,-0.149698257
9.632,0.077207804,-0.002482414,-0.072592735
9.692,0.143879354,0.06474638,-0.218708038
9.752,0.1924209,-0.00475359,-0.153014183
9.813,-0.072532684,-0.133329391,-0.336444855
9.876,-0.090531707,-0.082244873,-0.134681702
9.934,0.167815685,0.046015263,-0.032179832
9.988,-0.057897925,0.006135941,-0.200212479
10.055,-0.136420339,-0.169967175,0.022631645
10.115,-0.073141366,-0.111948013,-0.408883095
10.177,-0.171389937,-0.1553545,-0.358656883
10.23,0.170158446,-0.041275501,-0.200942039
10.299,0.015645564,-0.070469856,-0.396639824
10.352,0.095609665,-0.029181004,-0.198664665
10.409,0.041217506,-0.163371563,-0.233320236
10.468,-0.048048973,-0.216702461,-0.021899223
10.528,0.33679831,0.077745914,-0.296975136
10.58,0.18707031,0.063767433,-0.214046478
10.638,0.381501913,0.145998955,-0.051301003
10.7,-0.002992153,-0.112904549,-0.18625927
10.76,-0.07039547,-0.166582584,-0.055545807
10.82,-0.046713859,-0.121095181,-0.188095093
10.873,0.042040586,-0.10061264,-0.099308014
10.938,0.019571245,-0.021770477,-0.096130371
10.998,0.078966647,0.030776978,-0.218313217
11.059,-0.376277924,-0.18937254,-0.10207653
11.119,-0.193203837,-0.040034294,-0.253791809
11.18,-0.401263893,-0.204267979,-0.040846825
11.239,0.019913927,0.064915657,-0.160219193
11.3,-0.079386994,-0.089447975,0.134573936
11.362,0.162101224,0.016125202,-0.032473564
11.419,0.053640403,-0.272875786,-0.280449867
11.48,-0.061091017,-0.239700794,-0.182940483
11.539,0.215149507,0.040277481,-0.293887138
11.601,0.098528907,0.080924034,-0.353261948
11.66,0.022764497,0.114243507,-0.02814579
11.724,-0.2925497,-0.096736908,0.004924774
11.779,-0.12149711,-0.072219849,-0.172412872
11.844,-0.33767432,-0.14935112,-0.152817726
11.902,0.001511008,0.016329765,-0.073694229
11.963,-0.117674917,-0.151361465,-0.313452721
12.029,0.097238272,-0.143941402,-0.25812912
12.083,-0.012588263,-0.213106632,-0.200300217
12.145,0.176180303,-0.039410591,-0.02853775
12.207,0.11340192,-0.077270508,0.069927216
12.266,0.14734146,-0.023236752,-0.171854019
12.328,0.160505623,-0.053142071,6.25E-04
12.391,0.155066356,0.031638145,-0.155403137
12.454,-0.027436435,-0.069982052,-0.166201591
12.514,-0.092156589,-0.120773792,-0.249277115
12.573,-0.049080402,-0.104152679,-0.079042435
12.632,-0.159016103,-0.17033577,-0.283599854
12.694,0.050815269,-0.112249851,-0.277003288
12.758,0.133261502,-0.059351444,-0.102516174
12.814,0.155994132,0.025579453,-0.056171417
12.871,0.109534875,-0.006110191,-0.203345299
12.928,-0.007588252,-0.068437099,-0.030333519
12.993,-0.025151536,-0.130695343,-0.053854942
