time,x-axis,y-axis,z-axis
0.048,0.012094513,0.029138565,-0.027442932
0.128,-0.01062797,0.01371789,0.027071953
0.182,0.021115251,-0.003744841,0.096289635
0.236,-0.003204286,0.015891552,0.004250526
0.289,-0.033990875,0.025879145,0.054899216
0.373,0.00938715,0.021388292,-0.025356293
0.43,-0.008558542,0.016738176,0.055680275
0.496,-0.041926786,0.008360624,0.127980232
0.563,0.004341587,-0.005482674,0.038071632
0.63,-0.061082438,0.063952684,0.022514343
0.69,0.030183278,3.23E-04,0.082029343
0.75,-0.0276822,-0.015698433,0.069105148
0.81,-0.031413585,0.0115242,0.040884972
0.87,0.001290351,0.009741068,0.061058044
0.93,4.35E-04,0.038738489,0.021175385
0.99,-0.03869009,0.002774239,0.109462738
1.05,-0.022137016,3.04E-04,-0.022291183
1.11,-0.043481737,0.038275242,0.059390068
1.171,-0.016148016,0.021903276,0.05533886
1.23,-0.009362325,0.016777277,0.090574265
1.291,-0.001498789,0.017963648,0.032676697
1.351,-0.01767163,0.007689714,0.068514824
1.411,-0.009605646,0.007423639,0.096078873
1.471,0.028408244,0.02563858,0.014458656
1.531,-0.072136313,0.031321049,0.091979027
1.591,-0.053498253,0.008221149,-0.016243935
1.651,0.014048398,0.002917528,-1.54E-04
1.711,-0.010884061,0.017669201,0.081905365
1.772,0.032806724,0.02283144,0.045056343
1.831,-0.05014424,0.042565823,0.067959785
1.892,0.067049347,0.033041,0.05154705
1.95,-0.031517208,0.009699583,0.020510674
2.011,-0.021619529,0.011802435,0.071844101
2.071,-0.035946161,0.005261183,0.033153534
2.131,-0.023784652,0.034361124,0.058020592
2.191,0.05256182,0.021574974,0.005249977
2.25,-0.026992053,-0.001646757,0.090267181
2.311,0.021677956,0.021999836,0.08232975
2.371,-0.04508099,0.040474892,0.078609467
2.431,0.002571777,-0.01953125,0.057803154
2.492,-0.007799566,-0.01317668,0.107976913
2.551,0.013359323,0.037730932,0.059516907
2.611,-0.029922962,0.012329102,0.082457542
2.671,0.031894788,0.044803143,0.061530113
2.73,-0.008098677,0.026878357,0.045814514
2.79,-0.045698106,0.003522158,0.026473999
2.85,-0.036139026,0.009921074,0.038454056
2.91,0.020787135,-8.09E-04,0.093133926
2.97,0.001398623,0.014988661,0.06403923
3.03,0.004031539,0.020067692,0.081576347
3.09,0.021158755,0.026345015,0.143769264
3.15,-0.03849946,0.037833452,0.026515961
3.21,-0.005557418,-0.004075766,0.02316761
3.27,-0.025330603,0.012378216,0.055594444
3.33,-0.008475691,0.009766817,0.059279442
3.39,0.021086127,0.029408932,0.091468811
3.45,-0.002125755,0.045415401,0.046198845
3.521,-0.001825884,0.024164438,-0.006194115
3.58,-0.018696472,0.004723549,0.112427711
3.64,0.008648679,0.039937735,0.040835381
3.7,0.011829957,0.028470039,0.053033829
3.762,-0.022371426,0.054825068,0.074924469
3.821,0.037743285,0.027769566,0.006913185
3.881,-0.072538093,0.046081781,0.128310204
3.941,0.00220485,0.016929626,0.011993408
4.002,-0.060980603,-0.0022223,0.160294533
4.062,0.01630196,0.005753517,0.045764923
4.121,0.014930353,0.025620937,0.143238068
4.181,0.057051107,0.068091631,0.008030891
4.242,-0.158752486,0.064274311,0.153745651
4.302,0.018579572,-0.059253216,-0.005335808
