time,x-axis,y-axis,z-axis
0.083,0.053987756,-0.070723534,-0.039203886
0.153,-0.062143877,-0.044531822,-0.081155017
0.269,-0.02608867,0.022060394,-0.266749471
0.327,0.726783872,0.547819138,-0.8190642
0.387,0.122367613,0.410095215,-0.957664907
0.447,-0.247065425,0.28249073,-0.672341645
0.508,-0.298779547,1.215633392,-1.483508945
0.57,0.673272491,1.281275749,1.025705576
0.628,-0.166831851,2.696269989,0.35964942
0.689,-0.615210056,2.282559395,1.167268276
0.748,-0.45096302,0.916302204,2.93348074
0.808,-1.147460222,2.219322205,1.654261589
0.868,-0.648572445,2.093496799,1.493693352
0.928,-3.100602627,1.790255904,2.32542038
0.988,-0.779102802,0.615088224,3.209240913
1.048,0.870432615,2.226172924,0.306032181
1.108,0.036892414,0.62146008,-1.358305931
1.167,1.528075933,0.660283804,0.2894907
1.228,-0.037183285,1.046771646,-1.178140163
1.289,-0.909654617,0.706484318,-0.018278122
1.354,-0.36307478,0.353267431,1.144442558
1.414,0.227354527,0.152446628,-0.043911934
1.478,0.269320488,0.791920185,-0.374555588
1.536,-0.628110409,0.279639363,-0.228866577
1.599,-0.019857407,0.678626776,-0.13015461
1.657,0.044883251,0.130896926,0.164689064
1.715,-0.042096138,0.205481887,-0.034152985
1.774,-0.22638607,0.28948164,-0.292482376
1.84,0.040919304,0.084419847,-0.013552666
1.901,-0.087014675,0.137632966,0.01306057
1.96,-0.363742828,0.072607517,-0.116462708
2.02,0.357649326,0.227532983,0.254805565
2.084,0.251610279,0.066699743,-0.089543343
2.139,-0.096865654,0.11951232,-0.481736183
2.203,0.08638525,0.113233805,-0.145900726
2.265,0.047542095,0.08574903,-0.190188408
2.325,0.135429621,0.176539063,-0.020269394
2.384,-0.019797087,0.125308633,-0.194828033
2.445,-0.24327302,0.023300052,-0.141551018
2.505,0.143344641,1.91E-04,0.405961037
2.565,0.25679183,-0.050718069,0.25647831
2.623,-0.041201353,0.100977898,-0.232536316
2.685,0.199230671,0.190035582,-0.034596443
2.752,-0.112048864,0.07378006,-0.204314232
2.821,0.178402185,0.063221455,-0.160064697
2.885,-0.027089834,0.021416426,-0.111104965
2.944,-0.064574718,0.071691275,-0.131090164
3.008,0.133076906,0.050087214,0.016191483
3.071,0.016086578,0.039676905,-0.05446434
3.131,0.049422503,0.060167789,-0.092559814
3.192,0.079081297,0.00778842,-0.023936272
3.253,0.109155416,0.062147141,-0.063331604
3.314,0.043838024,0.022720098,-0.055368423
3.375,0.035580635,0.07252574,-0.089354515
3.442,0.058252096,0.019813538,-0.116114616
3.495,0.012885094,0.012054443,-0.078094482
3.555,-0.00148201,0.073219299,-0.021990776
3.618,0.016435385,0.067402124,-0.030143738
3.676,-0.111818075,0.004482508,-0.087402344
3.739,-0.007473946,-0.00630641,-0.088618279
3.795,-0.001055241,0.055397987,-0.292603493
3.859,0.249954462,-0.004418135,0.007882118
3.919,-0.108044147,0.040467501,0.472299576
3.979,-0.645365238,0.273915648,0.119174957
4.042,0.558229327,-0.617143154,-0.412187576
4.109,0.431892872,-0.115915775,-0.493037224
4.162,0.257202148,0.109474182,-0.132899284
4.222,-0.264294744,0.300818324,0.119041443
4.285,0.164117336,0.217530727,0.172193527
4.343,0.285673738,-0.263927937,-0.157305717
4.405,0.21068573,-0.184619427,-0.23459816
4.465,-0.062222362,0.005367279,-0.239214897
4.525,-0.012639999,-0.090726614,-0.042858124
4.585,0.32486093,0.036873341,-0.141039848
4.645,-0.166340232,0.029685497,-0.033996582
4.706,-0.105187297,0.141451359,-0.059340477
4.765,0.135499477,0.138426781,-0.507930756
4.826,-0.015884995,-0.13613081,0.211526871
4.887,0.31685555,-0.195651054,0.077726364
4.948,-0.113527536,-0.084187508,-0.293228149
5.008,0.322762609,-0.18343401,0.072306633
5.066,-0.121421218,0.124639511,-0.060975075
5.128,-0.055296421,0.029779911,-0.037382126
5.189,0.017827988,0.086168766,-0.097294807
5.246,-0.061852932,-0.087443352,-0.312854767
5.304,0.001006246,-0.131942034,-0.119045258
5.375,0.057687402,0.023315191,0.058867455
5.427,-0.01775372,0.117087603,-0.124001503
5.489,0.228304267,0.00556612,-0.070828438
5.549,0.022456169,-0.121805429,-0.061859131
5.612,-0.284485221,0.120621204,-0.192065239
5.671,0.023430586,0.075980663,-0.104779243
5.732,0.225557804,-0.126737595,-0.037169456
5.792,0.10198009,-3.19E-04,-0.082593918
5.857,0.016032219,0.050635576,-0.073394775
5.912,0.037994146,0.053798676,-0.09154892
5.969,0.007541776,-0.002788782,-0.037658691
6.03,-0.005983472,-0.013866425,-0.094549179
6.091,0.081348658,-0.041497231,0.053637505
6.149,0.107205153,0.037272692,-0.065090179
6.209,0.032473326,0.09886241,-0.256555557
6.272,-0.049247503,0.006153822,-0.127655029
6.333,-0.063947916,0.049769402,-0.040628433
6.392,0.075085044,-0.090327978,-0.135269165
6.451,0.200874567,-0.110856771,-0.06936264
6.515,0.068479776,0.069595098,-0.173316956
6.573,-0.021972537,0.035421848,-0.090089798
6.634,-0.07921803,0.057836056,-0.103003502
6.697,-0.01272285,0.04708457,-0.05971241
6.757,0.126168251,-0.051598787,-0.122461319
6.817,0.049133301,-0.059293032,-0.132149696
6.877,0.066699386,0.050133705,0.084314346
6.937,-0.060979962,0.144500256,-0.10846138
6.999,-0.069062352,-0.009393692,-0.162447929
7.057,0.140259385,0.086116552,-0.052067757
7.121,0.078749061,-0.064689636,-0.140497208
7.18,0.107372403,0.054926634,-0.130558014
7.242,-0.026947618,-0.005006313,-0.038458824
7.304,-0.056231499,-0.065787315,-0.043199539
7.362,0.032409668,-0.017512321,-0.136101723
7.425,0.041146755,0.020912647,-0.168540001
7.484,-0.042864442,0.02529192,-0.019570351
7.547,0.016265392,-0.074865341,-0.033553123
7.608,0.156057119,-0.006853342,-0.073699951
7.666,-0.117681742,0.070324659,-0.218421936
7.723,-0.266347766,0.12328887,-0.095068932
7.785,0.105427384,0.061522484,-0.043281555
7.851,-0.008242249,-0.145233631,-0.246779442
7.911,0.13709116,0.014702559,-0.098012924
7.971,0.050394177,0.125867128,0.050889015
8.031,-0.006982446,0.034475565,-0.045808792
8.093,0.127136111,0.019706249,-0.083510399
8.153,0.019521117,-0.113524199,-0.100095749
8.215,-0.133366346,0.025041819,-0.119333267
8.276,0.07633841,-0.002671957,-0.08029747
8.338,-0.071212888,0.034291029,-0.066877365
8.398,0.161699295,-0.017447948,0.22685051
8.458,-0.118154645,-0.016972065,-0.325624466
8.518,0.125688434,0.077211142,-0.316096306
8.578,0.192549467,-4.30E-04,-0.009714127
8.639,-0.282962441,0.096708059,-0.119417191
8.699,0.155695438,0.006675005,-0.001976967
8.762,-0.128307819,-0.133587837,-0.094846725
8.823,-0.118002415,0.077184677,-0.170775414
8.885,0.123483419,-0.047418833,-0.145131111
8.947,0.230686545,0.124065757,0.176002502
9.005,-0.25286305,-0.208596468,-0.167926788
9.063,0.368217289,0.129211307,-0.141593933
9.125,-0.301653981,0.015817761,-0.362765312
9.187,0.026734114,0.024814248,0.010454178
9.246,0.116910815,0.03880465,0.109353065
9.305,-0.112240195,-0.021755099,-0.290025711
9.369,0.043156624,0.078367114,-0.198841095
9.428,0.008711338,-0.01917696,0.003940582
9.491,0.044878125,0.018306494,-0.071975708
9.552,0.18257606,0.074623942,9.53E-04
9.612,-0.140975475,-0.054822803,-0.080091476
9.673,-0.032809138,-4.41E-04,-0.118174553
9.736,0.08258009,-8.12E-04,-0.202762604
9.796,0.127378225,0.021876454,-0.074654579
9.856,-0.036967158,0.079494834,-0.043371201
9.917,0.047843933,-0.011222601,-0.117588043
9.978,-0.048620105,0.032501221,-0.196912766
10.034,0.128499746,0.010230303,-0.006069183
10.098,-0.064582825,-0.050280094,-0.162718773
10.159,0.061879396,0.074287415,-0.057798386
10.213,-0.0952245,-0.005010724,-0.104921341
10.276,0.064490318,0.00770247,-0.09563446
10.34,0.048694968,0.012635231,-0.157394409
10.398,-0.024569869,0.063002825,-0.124757767
10.461,-0.005857468,-0.010091543,-0.033784866
10.52,0.010878801,-9.34E-04,-0.101599693
10.581,0.007469893,-0.027016401,-0.092963219
10.641,0.043492317,-0.023001671,-0.112099648
10.701,0.007276297,-0.013339281,-0.040131569
10.759,0.048349023,0.046359062,-0.00727272
10.821,0.009713292,0.014807463,-0.158380508
10.879,0.032143235,-0.015777349,-0.196151733
10.938,0.075917363,-0.003769875,-0.064912796
11,-0.049824953,0.089790344,-0.076507568
11.064,0.073856592,0.025792837,-0.114969254
11.124,0.024083495,-0.026003361,-0.131876945
11.183,0.016574144,-0.003587961,-0.10521698
11.244,0.050931692,0.003038406,-0.097805023
11.305,-0.002497911,0.009190798,-0.060357094
11.363,0.035671234,0.108088493,0.034662247
11.427,-0.133884311,0.013558388,-0.293446541
11.485,0.12864852,0.007941484,-0.136307716
11.547,0.019396305,-0.015662432,-0.027750015
11.609,0.023783445,0.033685207,-0.148771286
11.666,0.042699218,0.006171465,-0.049128532
11.724,-0.023848534,0.00642252,-0.087511063
11.79,0.015484571,-0.008764267,-0.055916786
11.85,0.028723478,0.02874589,-0.091503143
11.91,0.00175631,-0.009567261,-0.111665726
11.972,0.045731902,0.005537271,-0.119085312
12.031,0.009022951,0.035776377,-0.070523262
12.093,0.035495281,0.034672976,-0.16971302
12.152,0.048722744,-0.05343771,-0.05206871
12.212,-0.047733307,0.014046431,-0.12987709
12.271,-0.010292053,-0.001370668,-0.042516708
12.332,0.021932483,0.02810359,-0.086623192
12.394,0.003855228,-0.043682814,-0.122274399
12.454,0.04399693,-0.014497161,-0.064063072
12.516,0.01680994,-0.01681459,-0.129950523
12.576,0.016924977,0.011222601,-0.120362282
12.637,0.049919724,0.042901516,-0.060452461
12.692,-0.015039444,-0.039874792,-0.122741699
12.76,0.122484446,0.007095098,-0.11991024
12.82,-0.03380084,-0.01680398,-0.114113808
12.877,0.022345543,-0.004935503,-0.108495712
12.937,0.007957816,8.92E-05,-0.067170143
12.998,-1.32E-04,0.04148078,-0.081210136
13.057,0.012790442,0.009377718,-0.052931786
13.119,-0.027690768,-0.002323627,-0.0765028
13.179,0.005970836,0.007081032,-0.062731743
13.242,0.048683047,-0.004004002,-0.12853241
13.302,0.026624203,0.036651611,-0.048275948
13.363,-0.043341994,0.008206606,-0.137014389
13.422,0.062896729,-0.025489092,-0.062543869
13.487,-0.02535975,0.020079851,-0.135663033
13.54,-0.009023666,0.056732416,-0.084285736
13.605,0.0297122,-0.021163583,-0.061285019
13.665,0.057283044,-0.001762033,-0.067767143
13.725,0.023649812,0.003162384,-0.105215073
13.785,0.093588829,0.00757575,-0.149698257
13.845,-0.004112959,0.039222002,-0.101427078
13.905,0.023043871,0.004744053,-0.066197395
13.967,-0.001288414,0.002056122,-0.047101021
14.025,0.165269256,0.010472775,-0.078853607
14.087,-0.088843584,0.023685455,-0.290584564
14.147,0.13731885,0.046706915,0.012850761
14.207,-0.020991683,-0.002766132,-0.140846252
14.269,0.002393723,-0.033789873,-0.134362221
14.327,0.02978456,0.079676032,-0.089406967
14.388,-0.047285438,-0.020900011,-0.057344437
14.451,0.075749516,-7.85E-04,-0.058927536
14.512,-0.033840895,0.011967421,-0.151716232
14.573,0.00322485,0.031519651,-0.016452789
14.633,-0.066791654,-0.031901598,-0.097885132
14.692,0.05590713,-0.020926714,-0.143227577
14.756,-0.111833215,0.05358398,-0.176163673
14.814,0.036682248,-0.002259493,-0.229159355
14.875,0.169739366,-0.00626564,0.136599541
14.933,-0.067162395,0.039452314,0.073846817
15,0.079159975,-1.82E-04,-0.389996529
15.053,0.089201689,-0.018202543,-0.01779747
15.105,-0.227508307,0.102829576,-0.09666729
15.172,0.10485816,-0.015768409,-0.213335037
15.232,-0.050393701,-0.076992273,-0.104457855
15.293,-0.118947029,-0.016973972,-0.05218029
15.358,0.150924087,0.013944626,-0.084605217
15.417,0.106352806,-0.005611181,-0.041718483
15.478,-0.05768168,0.024403453,-0.122699738
15.536,-0.047151208,0.127486587,-0.299023628
15.596,0.188568771,-0.065055132,0.058077812
15.657,-0.176716685,-0.00664413,-0.115021706
15.719,0.001318455,0.008933306,-0.196011543
15.774,0.2521258,-0.024224281,0.023742676
15.837,-0.243436694,0.072488666,-0.191016197
15.895,0.122069836,0.063217044,-0.111831665
15.955,0.008527994,-0.00481379,-0.07835865
16.019,-0.050737858,-0.001120329,-0.087246895
16.079,0.078115702,0.027543306,-0.115059853
16.139,-0.031057239,-0.002198696,-0.129022598
16.2,0.003735065,0.049083114,-0.113451004
16.259,0.012986064,0.044578075,-0.089771271
16.32,0.084346294,-3.42E-04,-0.10724926
16.379,-0.036332369,-9.73E-04,-0.12882328
16.439,0.028784513,0.045435905,-0.032806396
16.502,-0.031475186,0.011890054,-0.075955391
16.561,-0.006814003,0.070484877,-0.13120079
16.619,0.109539986,-0.00822711,-0.097732544
16.68,0.037239313,0.044322729,-0.045907974
16.74,-0.021062851,-0.068517208,-0.061981201
16.8,0.042418122,0.067643881,-0.156247139
16.861,-0.041509509,-0.033623934,0.01803112
16.92,-0.010859251,0.060914278,-0.073095322
16.982,-0.001968622,-0.038440108,-0.194944382
17.042,0.108152807,0.044852018,-0.118455887
17.103,-0.04777801,-0.029661894,-0.119436264
17.163,0.146397173,0.006089687,0.061480522
17.22,-0.075205564,0.033188105,-0.208046913
17.284,-0.029280066,-0.012331486,0.015419006
17.344,0.02399075,-0.018569708,-0.095977783
17.407,0.055006385,0.014425278,-0.137660027
17.466,0.045330882,-0.001308918,-0.015845299
17.527,0.021609187,0.010854959,-0.055375099
17.586,0.026705444,-0.081447601,-0.098138809
17.644,-0.00120908,0.107640505,-0.228621483
17.707,0.032076597,-0.001687288,-0.053114891
17.768,-0.021410286,-0.042995214,0.021519661
17.829,-0.017992318,-0.008578539,-0.1609869
17.89,0.062185287,-0.016815186,-0.163887978
17.953,-0.053187251,0.036991715,0.003286362
18.013,0.051774621,0.052148581,-0.024474144
18.074,-0.038259208,0.02423203,-0.206710815
18.135,0.009438276,0.025014281,-0.115365982
18.198,-0.01359278,0.010371089,-0.111950874
18.257,0.039151311,0.050867081,-0.052131653
18.317,0.018536866,0.005186439,-0.152163506
18.379,0.077039123,0.025719523,-0.106758118
18.437,-0.066108644,0.007396817,-0.084773064
18.499,-0.024494171,-0.003225565,-0.0492239
18.56,0.055100679,-0.019415855,-0.140072823
18.619,-0.063035011,0.090509772,-0.144296646
18.68,-0.048080981,-0.009234071,-0.11681366
18.741,0.043516755,-0.022951484,-0.069939613
18.8,0.073934853,0.0370543,-0.048426628
18.861,-0.010462046,-0.007783651,-0.135302544
18.925,0.085086524,0.061422348,-0.020194054
18.988,-0.044389904,-0.004063606,-0.08672905
19.048,0.002090573,-0.022274375,-0.098640442
19.107,-0.038605094,0.067772388,-0.10078907
19.171,0.087231338,0.039384246,-0.137346268
19.229,0.022590458,-0.01702702,-0.127028465
19.292,0.005138457,0.032663226,-0.10417366
19.352,0.042783201,0.02570045,-0.138138771
19.413,0.020759225,0.073820591,-0.095297813
19.472,-0.004586518,-0.013537765,-0.099538803
19.533,0.050216734,0.010846972,-0.032653809
19.594,-0.049527466,-0.021230698,-0.170982361
19.658,0.03893435,-0.004600286,-0.081305504
19.711,0.005025387,0.001299858,-0.052645683
19.776,0.018938124,0.046802521,-0.05047226
19.839,0.015263617,-0.029269099,-0.021501541
19.893,-0.035438538,-0.005862117,-0.255728722
19.959,0.082502127,0.017338872,-0.146759987
20.022,-0.119458854,0.017321706,-0.091531754
20.074,0.065447032,-0.001722336,-0.13361454
20.132,-0.005002558,0.031800628,-0.111276627
20.196,-0.057165682,-0.012445927,-0.108735085
20.256,0.078919053,-0.020614862,-0.064682007
20.315,0.007566333,0.019138217,-0.069914818
20.378,-0.04837358,0.045833111,-0.092933655
20.437,-0.043006599,0.016697049,-0.083380699
20.5,-0.002500415,0.015673757,-0.054872513
20.559,0.025937974,-0.027365446,-0.071880341
20.621,0.024663866,0.00541842,-0.130083084
20.681,0.100447714,0.058710456,-0.037355423
20.738,-0.094110966,-0.045330763,-0.109012604
20.801,0.064365864,0.009851694,-0.105547905
20.861,-0.010420263,0.023733377,-0.13706398
20.92,0.039980531,0.050478101,-0.067996979
20.982,0.01408428,-0.007655144,-0.07551384
21.043,0.039049685,0.034108996,-0.116606712
21.105,-0.010789037,-6.85E-05,-0.094903946
21.163,-0.023156643,0.045518637,-0.13415432
21.226,0.077161968,0.035776973,-0.077444077
21.291,-0.059461951,-0.015977025,-0.137404442
21.352,0.061602056,0.011580467,-0.106150627
21.413,0.011187434,0.005337834,-0.123425484
21.473,0.007659793,0.033080339,-0.113225937
21.533,0.033447742,0.050588727,-0.07938385
21.595,-0.022241771,0.004665256,-0.113046646
21.656,0.053581417,-0.00946641,-0.120259285
21.714,0.004502296,0.01134491,-0.110242844
21.777,-0.006415784,0.012396097,-0.084043503
21.837,-0.014049053,0.032790899,-0.035731316
21.897,-0.065903068,-0.006903052,-0.13455677
21.959,0.100346565,-0.009301305,-0.092719078
22.017,-0.06323427,0.011151671,-0.125154495
22.077,-0.021614134,0.012403727,-0.094166756
22.138,-0.035790026,0.010177612,-0.112605095
22.199,0.106181026,-0.003849626,-0.147137642
22.259,-0.029542029,0.011871696,-0.104855537
22.32,-0.116682649,0.045746565,-0.12960434
22.379,0.052176297,-0.030296803,-0.10710144
22.441,0.097481728,0.037442446,0.05676651
22.501,-0.088628769,-0.036095738,-0.100827217
22.561,0.129057527,-8.74E-04,-0.200820923
22.622,0.015148342,-0.021856785,-0.092948914
22.683,0.015978158,-0.006633639,-0.138222694
22.746,0.10243541,0.027227521,-0.111082077
22.808,0.073198497,0.036515951,-0.187930107
22.869,-0.290266871,-0.120098591,-0.051292419
22.93,0.042178631,0.001813889,-0.090928078
22.989,-0.132465601,0.129777312,0.030776024
23.05,-0.082375288,0.06478703,-0.085935593
23.11,0.183962584,0.002307415,-0.077577591
23.166,-0.057661653,-0.00575912,-0.163302422
23.229,-0.033907175,0.006118059,-0.211518288
23.292,0.03358984,-0.002946258,-0.237354279
23.353,0.004260659,0.004622221,-0.125938416
23.418,-0.160166979,0.003365397,0.183095932
23.474,0.043678045,0.037702322,0.002837181
23.533,0.07644248,-0.027928948,-0.154938698
23.592,0.037055731,-0.011168718,-0.114751816
23.651,-0.121046305,0.022650838,-0.100336075
23.715,0.006236434,-0.030914783,-0.121007919
23.774,0.094048977,0.061226845,-0.041816711
23.836,0.026533484,-4.64E-04,-0.159190178
23.895,0.139631748,-0.037336946,-0.136301994
23.958,0.02271235,-0.020656705,-0.075066566
24.018,-0.096107721,0.083448172,-0.225243568
24.076,0.112216473,-0.048000932,-0.032299042
24.14,-0.10599184,0.001657605,-0.124928474
24.199,0.097894669,-0.015312552,-0.129854202
24.265,-0.039369345,-0.001897931,-0.118270874
24.327,-0.010250568,0.024736166,-0.030180931
24.387,0.019823432,-0.018055916,-0.058679581
24.447,0.043145895,0.014464021,-0.053267479
24.507,-0.074910522,0.007893205,-0.290653229
24.566,0.055378914,-0.01206851,-0.075314522
24.625,-0.008651018,0.02946794,-0.130952835
24.688,0.054037333,0.056061387,-0.171025276
24.745,0.162499666,0.035297632,0.027009964
24.805,-0.008324981,-0.008912086,-0.086353302
24.869,-0.076765656,7.22E-04,-0.16394043
24.927,0.103878498,0.002886772,-0.145616531
24.989,-0.005614877,0.01803422,-0.093463898
25.047,-0.003616929,0.004403114,-0.024549484
25.109,0.001640677,0.049645782,0.024211884
25.171,-0.050687909,0.028530598,-0.179094315
25.232,0.145679355,-0.018490314,-0.095842361
25.293,0.043272972,0.059909105,-0.366810799
25.354,-0.30129993,0.058310866,0.060077667
25.415,0.169654012,-0.132540464,0.398414612
25.477,0.064825892,0.12315464,-0.176434517
25.539,0.126246214,0.047075748,-0.158675194
25.594,0.03093183,0.015300989,-0.073842049
25.658,-0.008074403,-0.021210432,-0.054652214
25.718,-0.050549746,0.017202258,-0.169856071
25.779,0.074005008,-0.006389499,-0.110811234
25.84,0.073732376,-0.016494632,-0.008347511
25.9,0.011147261,0.006889343,-0.003005981
25.958,0.071893215,0.015927076,-0.06432724
26.022,-0.061922789,0.046387553,-0.333693504
26.082,0.055926323,0.012067676,-0.10696125
26.142,0.037466645,-0.020347357,-0.020352364
26.202,-0.044618607,-0.011848569,-0.104953766
26.263,0.026612401,0.01408565,-0.144610405
26.325,0.012590051,0.006775022,-0.136533737
26.381,0.015322208,-0.010265946,-0.126481056
26.447,0.010768771,-0.035075307,-0.100631714
26.502,-0.015164852,0.011410356,-0.124453545
26.567,0.055943847,-0.006352901,-0.083366394
26.632,-0.026414871,0.039121389,-0.147319794
26.691,-0.010055184,0.036360621,-0.12607193
26.753,0.074413896,0.030695558,-0.079900742
26.811,-0.014324903,0.0200454,-0.097542763
26.873,0.002288699,0.0014112,-0.058160782
26.933,0.03238368,0.018652081,-0.14749527
26.994,8.45E-04,0.02348423,-0.118954659
27.057,-0.038056254,0.059051752,-0.203066826
27.113,0.069091082,-0.050555587,-0.053490639
27.179,0.049168587,0.05815649,-0.058473587
27.234,-0.021710157,0.02427125,-0.168387413
27.293,0.368412137,0.032208562,-0.155830383
27.354,0.369650006,-0.142363071,0.308680534
27.417,-0.095812559,0.116934538,-0.206482887
27.478,-0.002242565,0.007300496,-0.156902313
27.536,-0.06973958,-0.034568191,-0.123000145
27.594,-0.053456426,0.021760821,-0.115325928
27.658,0.024762034,-0.010111928,-0.112597466
27.723,-0.031446457,0.040724754,-0.118739128
27.778,0.037980199,0.007921696,-0.124754906
27.839,0.057761192,0.030876756,-0.009104729
27.9,-0.021516562,-0.012294173,-0.14861393
27.96,0.049265623,0.024696589,-0.069595337
28.02,-0.026207328,0.03573525,-0.185009003
28.08,-0.032191157,-0.021634817,-0.097655296
