time,x-axis,y-axis,z-axis
0.072,-0.15668726,-0.7239995,-0.147872448
0.171,0.192845821,-0.030794144,0.351503372
0.276,-1.799678326,1.474993229,1.170838356
0.345,-1.111579895,1.6130054,2.102043629
0.403,-1.49471283,0.493778646,1.639257908
0.465,-0.849624634,0.023719311,0.806014538
0.527,-1.16138649,1.388370395,-0.04813242
0.584,-0.483541489,0.327326059,-0.484955788
0.645,1.889113903,0.145147324,-1.3529737
0.704,-1.611353874,-0.614921093,-1.237596273
0.763,3.910706282,-0.367014885,0.878301859
0.824,1.822347164,0.621203423,-1.623402715
0.884,-2.878001213,-1.157167912,0.312523454
0.944,-0.506697178,-2.215252876,1.779125929
1.004,-0.695853233,-4.253558159,0.955202579
1.066,0.16432333,-2.205251217,1.690525532
1.122,-0.759965897,2.761722565,-0.241416335
1.184,0.404518604,0.450653076,-0.482729793
1.244,0.988739491,-0.91272974,-1.136167884
1.311,0.466715813,-0.450036049,-2.133491278
1.371,0.180573463,-0.514968872,-0.925565481
1.43,-0.142854214,0.18926239,-0.698594928
1.49,0.327056408,0.835949898,-0.850318193
1.549,0.161307812,0.548557281,-0.750398219
1.611,-0.491947651,0.005151749,0.152148366
1.671,0.680872202,0.02874279,0.058242053
1.731,0.579986334,0.440160751,-0.246664822
1.793,0.622648954,0.544441223,-0.670662642
1.853,0.553634882,0.262144089,-0.679353595
1.912,0.124718189,-0.136134148,-0.487297475
1.972,0.015629292,0.231389046,-0.75825882
2.033,-0.098077297,0.358901024,-0.009256512
2.096,-0.02493763,-0.429172516,-0.272956461
2.152,0.006995678,0.127345085,-0.227243423
2.213,0.738106966,0.211202621,-0.340776354
2.27,0.46779108,0.246870041,-0.008142859
2.332,0.531233311,0.242124557,-0.035570771
2.392,0.540887833,0.091309547,0.192074612
2.453,0.584151745,-0.062605858,0.241399765
2.513,-0.041415691,0.454541206,0.142074406
2.572,0.021038532,-0.380619049,-0.139668003
2.633,0.300935268,-0.296630859,0.114487201
2.697,0.136161327,0.016174316,-0.102364242
2.749,-0.032233715,0.34160614,-0.293889523
2.808,0.082018375,-0.052545547,-0.304773211
2.873,0.011267185,-0.315794945,-0.196098089
2.936,0.071637154,-0.059868813,-0.014505953
2.994,-0.089620113,0.061108589,-0.091011405
3.057,0.051697731,-0.083641052,0.016021788
3.117,-0.068757057,0.048959732,0.037137359
3.177,0.037836552,0.084620476,0.041397631
3.24,0.005979538,0.119729042,0.016844749
3.298,0.045447826,0.063913345,-0.004000157
3.358,-0.061323643,0.070288658,0.036114991
3.419,0.071417809,-0.033812523,-0.057712764
3.481,0.017314434,-0.015574455,-0.088683441
3.543,0.167572498,-0.069971085,-0.096499816
3.601,0.154400826,-0.059645653,-0.151353076
3.661,0.24926281,-0.052866936,-0.12903589
3.723,0.18345356,-0.170589447,-0.113787256
3.789,0.033985138,-0.144889832,0.020527869
3.846,-0.014091015,-0.033992767,-0.035363108
3.906,-0.122872353,0.225523949,-0.002035826
3.966,-0.110991955,0.104959488,0.130949765
4.023,-0.067398548,0.029551506,0.028003067
4.086,-0.004132271,0.095775604,-0.165753514
4.144,-0.015247822,-0.060781479,-0.079823777
4.205,0.128881931,0.151263237,0.107747257
4.265,0.196543694,-0.117368698,-0.053921446
4.325,0.296469212,-0.130281448,0.071942329
4.387,0.089996815,-0.028144836,-0.03832899
4.44,-0.047325611,-0.039161682,-0.1336312
4.507,-0.154052734,0.010741234,-0.075607121
4.569,-0.134077549,-0.064635277,-0.056757197
4.623,-0.120258331,0.034715652,-0.01340279
4.691,-0.001866341,-0.031000137,0.016786873
4.75,0.065032482,-0.01816082,0.063260943
4.81,0.13242197,-0.016816139,0.055769622
4.87,0.126694679,-0.081429482,0.013052315
4.933,0.040063858,-0.028120995,0.019359767
4.988,0.063357353,-0.03055954,-0.03175512
5.049,0.039016247,0.041795731,-0.039212987
5.108,0.002852917,0.018915176,-0.066570565
5.169,0.024505138,-0.013674736,0.03136009
5.233,-0.013200283,-0.017230034,0.031030864
5.29,-0.003582954,-0.002161026,0.021547288
5.349,0.038879395,-0.033531189,0.012506008
5.411,-0.005273342,-0.100400925,0.020617753
5.469,0.018277168,-0.02351284,0.038194597
5.531,-0.038116932,-0.028285027,-0.019426465
5.59,-0.015009403,-0.013608932,0.011137903
5.653,-0.028393269,-0.046267509,0.035504729
5.713,-0.008781433,0.009387016,0.078973204
5.771,0.012518406,-0.036128998,0.030645698
5.834,0.031051159,0.024783134,-0.003056467
5.894,0.020240307,-0.051135063,-0.054949671
5.952,0.021657467,-0.06009388,0.066260248
6.014,0.041344166,-0.011580467,-0.069547474
6.068,2.21E-04,-0.030550003,-0.055652142
6.133,0.004721165,0.032271385,-0.003861815
6.194,-0.025061607,0.036201477,-0.059454948
6.254,0.061889172,-0.019316673,-5.80E-04
6.313,0.017688751,-0.024723053,0.025100559
6.375,0.036896229,-0.035970688,-0.012862563
6.433,-0.021338463,-0.024547577,0.009869844
6.495,-0.01572752,0.103337288,0.07197687
6.553,0.023997307,-0.081466675,-0.04882133
6.615,-0.09624052,0.010614395,0.190411359
