time,x-axis,y-axis,z-axis
0.27,2.56E-06,-3.39E-05,3.39E-05
0.33,0.07705456,-0.514725864,0.030461775
0.411,-0.378074139,0.271067351,0.714056015
0.491,-0.014720937,-0.586488247,-0.881360829
0.572,-0.762490571,0.085209265,-0.711637318
0.653,-0.317066878,-0.029765608,-0.78837043
0.733,-0.24395664,-0.180179462,-0.153912216
0.814,-0.013287389,-0.373684853,0.112636782
0.895,-0.155405775,0.331130475,0.277310044
0.979,-0.562915742,0.617899239,-0.023899931
1.062,-0.038449742,0.093117848,-0.285357744
1.14,0.034597229,-0.292221785,0.426531464
1.221,0.349782616,-0.551746607,-0.529071808
1.301,0.447830796,-0.978918672,-0.380017549
1.383,0.355881184,-1.4173069,0.530873895
1.463,0.147513777,-0.859822333,0.305372357
1.542,-0.859563291,-0.253271878,0.842304826
1.627,-0.680462718,-0.268547177,-0.137152225
1.704,-0.117572121,-0.553404868,-0.126333296
1.787,0.126584142,-0.407469034,0.002092588
1.867,-0.347803533,0.034798343,-0.137958854
1.95,-0.231916443,0.306945026,-0.320845246
2.031,-0.186311975,0.066283904,0.158683673
2.112,-0.166200832,0.023147359,0.163278595
2.194,0.158536151,-2.77E-04,-0.372073919
2.276,0.175295115,-0.077763624,-0.040012278
2.352,0.027610842,-0.143503055,0.069411978
2.43,-0.095988654,-0.191356689,-0.028090954
2.512,-0.021488706,-0.176273689,-0.469519556
2.59,0.038926456,-0.05870061,-0.286042213
2.671,-0.133943334,0.083973296,0.077360891
2.754,-0.09875074,0.051029347,-0.134497911
2.833,0.139399782,-0.238867506,-0.283881247
2.913,0.106113158,-0.105511464,-0.043159343
2.996,-0.200174198,0.12360651,0.253582537
3.078,-0.182865411,0.063310735,-0.406855881
3.157,0.04682656,-0.158816054,-0.327758372
3.237,-0.097016826,-0.124128193,-0.140886143
3.317,0.040130645,0.019984512,-0.169896558
3.398,-0.020671325,0.023488136,0.197127089
3.477,0.011838688,-0.033942603,-0.267611086
3.56,-0.048163291,-0.038298458,-0.223770186
3.638,0.084244877,-0.144831672,-0.371579409
3.72,0.119464807,-0.074673258,-0.122056939
3.803,0.117986552,-0.027423138,-0.010983166
3.884,-0.142949581,0.083241761,-0.091609195
3.964,-0.130283579,0.068190031,-0.181870475
4.044,0.062433589,0.051406361,-0.400735348
4.126,0.039519597,0.093721658,-0.343598932
4.204,-0.111777246,0.336443484,-0.014489129
4.285,-0.10480909,0.469583273,-0.224800691
4.365,-0.260999888,0.556212604,-0.128180385
4.446,-0.289227545,1.012736201,0.029186932
4.527,-0.371487379,1.756229997,-0.657171547
4.609,-0.098012559,1.842224836,-0.686472476
4.687,-0.025656566,1.903807998,-0.530881464
4.771,0.767900944,0.594829082,-0.926276684
4.853,0.550893903,0.61985302,-2.065433264
4.933,-0.123732768,-0.627888143,0.733927429
5.012,-0.521642804,-0.776628256,0.30430153
5.095,-0.154132292,-1.535984397,2.169730663
5.179,0.328817546,-1.232515335,1.89339149
5.258,0.112314641,-1.203274846,2.93124342
5.335,0.744570553,-1.115544438,3.610866547
5.417,0.17154856,0.497688234,2.180836678
5.499,0.927316546,0.153482586,1.919265389
5.58,0.974233031,-0.303557575,0.192252174
5.662,1.289592385,-1.069559336,-0.742238164
5.742,1.1627177,-1.278031826,-0.023603579
5.821,0.948663771,-1.427663922,-1.647497177
5.903,1.369988441,-1.799621344,-2.054214001
5.982,-0.003597002,-1.133573294,-1.521135807
6.064,0.652207077,0.020981707,-3.856199741
6.142,0.936287045,0.635230899,-1.811329961
6.225,0.920625269,0.848771095,-1.584493876
6.305,0.61419785,0.682715416,-0.749668598
6.387,2.24057579,0.387073904,-0.93936938
6.464,0.914116204,-1.357458472,2.864830732
6.548,2.657880783,-1.278867602,-0.93615973
6.629,-0.277159244,-1.046515703,2.272615194
6.71,0.229205281,-1.027378678,-0.550194085
6.793,0.080931805,-0.622145236,-1.6283921
6.871,0.197159186,-0.71949178,-0.697032452
6.949,-0.115395583,-0.005694997,-0.538005054
7.031,-0.152258456,-1.205489635,3.771121979
7.113,-0.259353667,-0.549831688,-0.108770758
7.195,-1.672052026,0.193037182,-1.224671006
7.27,-0.100075357,-0.116630681,-0.153832138
7.355,-0.156456053,0.499597579,-2.60272336
7.432,0.319224209,0.403309017,-1.462915659
7.515,-0.025431447,0.558395505,1.177002668
7.595,-0.030850733,1.836511731,-1.049576879
7.679,0.051806293,-0.796330452,5.185433388
7.759,0.216408104,0.002922609,-0.518103242
7.841,-1.817339182,-0.741648555,1.731440902
7.92,-0.063428007,-1.43447113,-2.578258991
8.002,-0.67392844,-0.948330641,-3.399257183
8.081,-1.059019208,-0.749493003,0.036283612
8.162,-1.751385331,0.467479855,-0.170607328
8.242,-1.36240828,-0.88996923,4.787417412
8.324,-2.127923012,0.79079181,-1.316515803
8.397,-2.008349657,0.223509192,0.749776781
8.479,-0.465295941,0.441128165,-2.921469688
8.565,-0.203773126,0.394049287,-1.187601805
8.645,0.347710371,0.400754929,0.201996163
8.724,-1.052424669,1.461396813,0.11616613
8.809,-1.308281064,-0.384728938,2.137547493
8.89,-1.431722045,-0.404195279,0.603601873
8.967,-2.324548721,-1.125315428,1.67083776
9.048,-1.817794442,-0.828956366,-1.157970667
9.128,-1.569263577,-1.362487316,-1.565966368
9.211,-0.85368377,-1.502131224,-0.678302586
9.292,-0.171029598,-1.276046276,0.69389236
9.374,-0.155650094,-0.297424614,0.044658642
9.449,-1.670953155,-2.310964346,5.011413097
9.534,-1.126977921,-1.737504482,-1.280711412
9.614,-2.28360033,-2.080401182,-1.385433197
9.693,0.292425394,-3.169532537,0.910344899
9.775,0.710120618,-1.47996366,-0.009531799
9.857,0.780227721,-0.012973756,-0.648041308
9.935,0.867081225,0.699917614,0.388827473
10.015,-0.057423651,1.471342802,-0.790041566
10.09,-0.595666409,-1.575187445,4.493652821
10.172,0.009557737,-1.540705204,-2.032450438
10.257,-1.24774313,-1.184177518,-0.576661229
10.336,-0.657505572,-2.08973527,2.896441698
10.418,-0.113376305,-0.990031481,-3.040992737
10.499,-0.186127841,-1.143168926,-0.575969756
10.579,0.854704678,-0.287528068,-1.802975297
10.655,1.041051865,0.110773034,1.223172903
10.736,-0.406418651,0.850682795,0.991535604
10.82,0.662759125,-1.502176285,4.285954952
10.903,-0.403803766,-0.765600622,-0.862230599
10.98,-0.278555334,-1.357567549,0.004567454
11.059,1.113060236,-1.477814913,-2.038123131
11.14,0.746688366,-0.706731379,-2.104865789
11.224,0.090719335,-0.282330513,-0.645069599
11.307,-0.668225348,0.857749343,0.551996171
11.381,-0.58718884,0.313715249,3.318644047
11.463,0.799310446,-1.636650205,2.490367174
11.548,1.199979305,-0.995279491,-2.043846369
11.63,-0.596268177,-1.541739345,3.452647448
11.709,0.149985969,-1.340091228,-1.638341188
11.791,-0.065450229,-0.692899585,-3.353776217
11.869,-0.293848306,-0.41302231,0.037917934
11.945,-0.416660368,-0.257551759,2.13533926
12.028,-0.451106817,-0.807195246,1.116477132
12.113,0.297613055,-1.301784158,1.2093817
12.193,-0.994261146,0.292352706,-1.833821177
12.276,0.728824437,-1.343574166,0.425483435
12.355,1.050914884,-1.213454843,-1.339456439
12.435,0.468960345,-0.649616003,-1.545167327
12.516,0.48461321,-0.503634274,0.323329449
12.591,-0.719289839,0.235450104,1.233653903
12.671,0.755271435,-1.218807936,-0.993439376
12.759,-0.125886515,-1.803950071,2.882521152
12.839,0.507148385,-0.834711611,-3.113114595
12.919,0.173950911,-0.79292649,-1.467508316
13,-0.362572283,-0.62400651,0.872156382
13.081,0.142607316,-1.389576316,3.375075579
13.154,-0.158034042,-1.261566281,0.637118936
13.236,-3.363096952,0.155758426,-0.507285535
13.322,-0.773738086,-1.438221335,0.252599984
13.402,-0.269156218,-0.919575274,-2.621446371
13.481,0.638961613,-0.878335655,-1.04096508
13.564,0.080192238,-0.295728028,0.08964286
13.639,0.21898149,-1.787314415,3.461814642
13.72,-0.52233094,-0.384687752,-2.575870991
13.804,-0.545523465,-1.838539839,2.334000111
13.889,0.167302877,-1.329713941,-2.178588629
13.967,-0.03729615,-1.285995245,0.055412676
14.05,0.045134079,-1.399450302,2.110096693
14.122,1.017269254,-0.251018971,-2.458670855
14.205,1.243551254,-0.473146647,-0.082813896
14.29,1.657476783,-0.601580024,-0.032591186
14.37,1.7254318,-0.357271463,-1.275366545
14.448,1.734707952,-0.01075491,-0.858407795
14.531,1.396419644,-0.087594844,0.570683956
14.613,1.328103304,-0.484082401,1.726134658
14.697,1.278760433,-0.105109967,-0.406551361
14.775,0.524644434,-0.075812347,0.173776016
14.857,-0.627708733,-0.674367726,2.121070385
14.935,-0.952716351,-1.446488023,2.165216923
15.014,-1.560153127,-0.979691267,-2.710820198
15.095,-1.884327292,-0.942949176,-0.112104289
15.177,-0.705580115,-0.492856145,-0.148569688
15.258,-0.43090868,-0.043647125,-0.782267988
15.337,0.040646922,-0.082387634,0.098300219
