time,x-axis,y-axis,z-axis
0.125,-0.254231662,0.14227438,0.077407837
0.224,-0.022338528,0.060841084,0.191781998
0.307,0.158269241,0.120902061,0.101899147
0.358,0.323024482,0.144327164,-0.173922539
0.412,0.132463038,0.164164543,-0.262115479
0.496,-0.085544929,0.043286324,0.040439606
0.551,0.175287604,-0.091210365,0.178601265
0.605,0.636181056,-0.147110939,-0.053768158
0.67,0.908422709,-0.183022499,-1.060946465
0.729,0.869820714,-0.146011353,-0.871525764
0.789,0.171075404,0.434373379,0.098835945
0.849,-0.465628535,0.971981049,0.802325249
0.91,-0.773542404,1.049672842,0.06541729
0.969,-0.427033663,0.865894556,0.490185738
1.029,-0.863917232,0.750838995,-0.416549683
1.089,-0.309574604,0.780161381,-0.349157333
1.149,-2.306396723,0.871584415,-0.657806396
1.214,-2.066226244,1.198506832,0.142401695
1.281,-1.738084316,0.994874001,0.611706734
1.332,-0.641290426,-0.54537344,2.532424927
1.391,-0.892763853,-1.418560266,-1.00026989
1.451,-1.926332474,-0.263383389,-0.42112875
1.511,-0.969091177,-0.67706871,0.589500427
1.572,-0.730953932,-0.914151669,-0.041424274
1.633,0.791016936,-0.553539753,-1.396495342
1.698,-0.042817831,-0.528208733,-1.017924309
1.755,1.44815433,-0.157925606,0.828036308
1.819,0.541663647,0.432803154,0.333647728
1.877,0.772976398,0.814564228,1.322900772
1.932,1.619890213,-0.777638912,3.216803551
1.992,0.976941943,-0.879739523,0.560461044
2.053,2.022000551,-0.350773811,-0.735810757
2.113,1.067748666,-0.876674175,-1.082270145
2.173,-0.272331834,-0.695525646,-0.729897976
2.233,-0.018573523,-0.00585556,-1.627745628
2.291,-0.585327387,0.718063831,-1.287949085
2.35,-0.682877541,1.485430717,1.071278572
2.411,-0.905941427,1.409609318,2.238892555
2.471,0.370943099,0.981592178,3.687615395
2.534,-0.043277264,-1.038538694,2.879375458
2.593,-0.313472867,0.154783726,-1.760612011
2.654,1.592076659,-1.148808956,0.384842873
2.713,-0.856158555,-1.825530529,1.066688538
2.778,0.262805879,-1.099572659,-0.365093231
2.839,0.680155337,-0.617292404,-1.582858562
2.893,1.033661962,-0.149708748,-1.983839035
2.953,0.554081023,0.669548988,-1.271855831
3.013,0.304314852,1.438611031,-0.308961391
3.073,0.856344521,-0.036206245,3.483712196
3.133,0.370835751,-0.498766899,1.689520836
3.193,0.331451923,-0.068980217,-0.476211548
3.253,0.991169095,-0.762568951,-0.647089481
3.313,-0.559273839,-1.292165279,-0.072899818
3.373,-0.280382335,-0.868336678,-1.757708549
3.433,-0.387237489,0.005641937,-2.321549892
3.492,-0.829619646,1.181841373,-0.698991299
3.553,-1.293665409,1.417749405,1.509373665
3.613,-1.104223728,1.722073555,3.737509727
3.673,0.2765055,-0.172524929,5.220895767
3.733,-0.990255475,-0.410900116,-1.047575474
3.793,0.915308475,-0.401103973,-0.840988636
3.853,-0.329242259,-1.328321457,-0.238613605
3.913,-0.583125532,-1.530352592,0.241132259
3.972,0.197223023,-1.408640862,-1.226943493
4.033,0.382087648,-1.040499687,-1.402441502
4.091,0.820740819,-0.27063036,-0.457687855
4.151,0.365756035,1.243281841,-0.215724945
4.211,2.290850401,0.687785625,2.041853905
4.272,-0.763722718,-0.542012215,2.099915504
4.333,0.934019327,0.265491962,-0.402538776
4.393,1.201349497,-0.339762688,-0.208265305
4.453,-0.098102629,-1.07951355,0.121179581
4.513,-0.778641343,-0.765976429,-1.012542248
4.573,-0.001369089,-0.224633694,-1.376348019
4.633,0.109676316,0.637357712,-0.576568604
4.693,-0.034929708,1.271120071,1.765612602
4.752,-0.846224904,1.495834351,1.379347801
4.812,0.934478402,0.210603237,0.303554058
4.872,-0.670695662,-1.256864548,0.9513731
4.931,-0.616646647,-0.764913559,-0.295504093
4.99,0.18122226,-1.722932339,1.497082233
5.051,-0.237720668,-0.991789818,-0.479612827
5.112,0.469828755,-0.434338093,-1.335910797
5.178,0.700677812,0.036468983,-1.286102772
5.234,0.995276868,0.552386284,-0.65502882
5.297,0.58821702,0.324507236,0.952297211
5.352,0.546292722,0.800319195,0.975293159
5.418,1.008862257,-0.432857037,0.349851608
5.476,0.282697022,-0.641198158,0.130216599
5.535,0.84679389,0.280232906,0.105666161
5.593,1.279815197,-0.58858633,0.766430855
5.66,0.657664418,-0.554159164,-0.244752884
5.711,0.940834403,0.338376045,-2.207405567
5.77,0.603225231,0.568790436,-0.887288094
5.831,-0.556356072,0.868538857,0.677740097
5.89,-1.045057416,0.812055111,1.891727448
5.953,-1.911387682,1.706346035,1.050439835
6.013,0.397364259,0.033484936,3.212662697
6.072,-1.724242926,-0.477751255,-0.228737831
6.133,-0.642920911,-0.750992775,0.566048622
6.198,-0.266083896,-1.518325567,1.530207634
6.253,-0.546141207,-1.553303957,0.174928665
6.313,-0.433811247,-1.156886578,-2.039391994
6.376,0.258590877,-0.936247826,-1.72562027
6.436,0.285614192,-0.351044655,-0.60508585
6.49,0.75237304,0.611722946,0.028019905
6.551,1.267818332,0.515217781,0.370570183
6.612,0.117835224,-0.694602966,4.031778336
6.672,0.206094503,0.211192608,0.104894638
6.731,0.88769573,0.19065237,0.071282387
6.792,0.6408301,-0.553535461,0.969028473
6.852,0.006241202,-0.664879322,-0.699194908
6.911,0.469719708,-0.186331749,-2.05164814
6.972,-0.009035051,0.05987978,-0.740793705
7.032,-0.308448583,0.453288078,0.600199699
7.09,-0.070635259,0.718416691,1.696151733
7.153,0.678377569,0.794419289,1.359856606
7.216,0.095041633,-0.322926521,1.612439156
7.27,-0.118741095,-0.508073807,-0.760536194
7.331,0.853600264,-1.087751389,0.517051697
7.391,1.427772164,-1.938831806,2.441345215
7.459,1.061068535,-1.69634676,0.787262917
7.511,1.301576138,-1.24622488,-0.716906071
7.571,1.761146188,-1.428105831,-0.5529809
7.632,0.818652153,-1.72449708,0.360930443
7.691,0.211416841,-1.913765669,1.361680031
7.752,-0.754853249,-2.008982658,1.117943764
7.812,-1.307589293,-1.700007677,1.169239998
7.873,-1.470170975,-1.279272079,1.333228111
7.932,-1.584438324,-0.601455212,1.665756226
7.992,-0.786923289,-0.125055313,2.36598587
8.054,-0.85575974,-0.1877985,1.607111931
8.113,-1.265540481,-0.098555088,-0.903785706
8.179,-1.272500038,0.300722599,-0.923913479
8.239,-0.861077309,0.674413681,-0.656335831
8.291,-1.10025239,0.986232281,-0.353419304
8.352,-1.13951087,1.524163246,0.687785149
8.411,-0.604256868,1.758437634,1.216385841
8.472,0.807472467,0.144764423,3.366603851
8.532,-1.53471756,-1.039366245,0.610039711
8.592,-2.325148582,-0.6529212,-1.526835918
8.652,-1.225085974,-0.733104229,-1.173607349
8.712,-1.959420562,-1.035458088,0.488556385
8.772,-1.536717653,-0.946645737,0.85587883
8.832,-0.575660944,-0.170332909,-0.111089706
8.893,-0.009340942,-0.088125706,0.383976936
8.959,0.864720881,0.201929092,-0.253054619
9.014,1.22325933,0.731945992,-0.408309937
9.079,1.152208209,2.25075531,-0.40293026
9.139,0.810984373,-0.531143188,2.553034782
9.191,0.002558887,-1.018880606,2.200466156
9.251,0.58070761,-0.33681488,-1.070847034
9.312,0.635748208,-0.516703129,-0.377120972
9.372,-0.425930709,-0.419669628,-0.937757969
9.432,-0.47679013,0.167809963,-2.242163658
9.492,-0.349485934,0.583860874,-0.60765934
9.552,-2.095199823,1.148959637,0.708717346
9.612,-2.335660934,1.290729046,1.738473892
9.674,-0.322554976,0.024084091,4.467978477
9.732,-1.245082855,-1.630333185,0.710645676
9.794,-0.329837263,-0.910116196,-0.105751514
9.858,-0.535380006,-1.781243801,0.945297718
9.919,-1.0818578,-2.22921896,1.308576107
9.971,-0.117709875,-1.732491493,-0.425208092
10.032,0.584202707,-1.157940865,0.490055561
10.092,1.502450347,-0.816096783,0.781888008
10.152,1.555096507,-0.244887829,0.14720726
10.212,1.71647656,1.099382877,-0.751560688
10.272,0.588790655,-8.88E-04,0.744088173
10.332,-0.698280334,1.88E-04,0.282618523
10.392,0.491856754,0.389267921,-1.23251915
10.458,0.55515784,-0.10529232,0.175886154
10.515,-0.210031003,-0.213579178,-0.322036743
10.574,-0.245965362,0.116069794,-1.218433857
10.639,-0.199797332,0.428450108,-0.906329632
10.691,-0.187986627,0.554924488,0.329525948
10.751,0.428348482,0.430645466,2.384345055
10.812,-0.194618344,1.240914822,0.807154655
10.872,0.411704779,-0.145162582,1.273277283
10.932,-1.579700589,0.523309708,-2.241375923
10.992,0.171268433,-0.305340767,1.126824379
11.051,-0.367042363,-1.275165558,4.786224365
11.112,0.704122841,-1.592444897,1.022504807
11.172,0.903936565,-1.529358387,-1.743614674
11.232,1.776633501,-1.259198666,-1.283788681
11.293,1.622293949,-0.887619972,-1.175935268
11.357,1.135542154,-0.051700592,-0.902420044
11.416,2.007223845,0.372990131,-0.612855911
11.472,-0.470146626,-0.176191807,2.051052094
11.531,0.634360313,1.027793407,-0.26769352
11.59,0.287329614,0.490944386,-0.045107841
11.65,-1.406515837,-0.179926395,0.308865547
11.72,-0.873460531,0.2071805,-1.02918005
11.772,-0.505486071,0.744204044,-1.45818615
11.833,-1.237624645,0.666482925,0.049081802
11.901,-1.664737701,0.781773567,1.815559387
11.954,-1.365182281,1.064040184,2.311882973
12.018,0.992465854,0.172831059,3.410647392
12.071,-0.976295352,-0.627773285,-0.91456461
12.13,-0.043722093,-0.578278065,-0.168412209
12.19,-0.223064125,-1.683237314,1.382721901
12.254,-0.167533278,-1.867049217,0.846237183
12.312,0.192753971,-1.592244148,-1.423185825
12.374,1.125014782,-0.974489212,-1.651795864
12.434,0.902662158,-0.423653126,-0.924770832
12.498,0.360764921,0.289795399,0.237401962
12.552,1.052167654,0.894190788,0.9562006
12.612,-0.412056595,-0.222409725,2.300275803
12.672,0.63120538,0.757723331,-0.383127213
12.732,0.371379912,0.621603012,0.175674438
12.792,-0.245876372,0.153343201,-0.631755829
12.852,-0.849579036,0.164329052,-1.385761261
12.913,-0.175840735,-0.021593571,-0.638232231
12.972,-0.310331583,0.074101925,0.032764435
13.038,-0.503624558,0.338375092,0.060874939
13.1,-1.347200155,1.122748375,1.032564163
13.152,0.370963722,0.336503506,3.968805313
13.212,-1.276688933,-0.62473774,0.659945488
13.272,0.303923517,-0.25325489,0.08763504
13.331,0.318122685,-1.214316845,1.7328825
13.392,0.257033885,-1.385930538,0.496970177
13.452,0.171176508,-1.219192982,-1.446654797
13.512,1.078281403,-0.890512466,-1.587773323
13.572,0.935465872,-0.305748463,-0.597258091
13.632,1.224878907,0.199352741,-0.066950321
13.692,0.401584804,1.044699669,-0.058837891
13.75,-0.179284126,0.342598438,1.28415966
13.814,-0.866058528,-0.323446274,0.447188377
13.877,-0.649225593,0.007704258,-0.276668549
13.936,0.099259131,-0.286478043,1.203589439
13.991,-0.601962745,-0.626945496,0.691641808
14.051,-0.859151959,-0.57956171,-1.43134737
14.111,-1.382548213,-0.375891209,-0.853651047
14.172,-1.730529189,-0.347623348,0.577593803
14.232,-1.493186593,-0.451476097,1.947498322
14.292,-0.166310787,-1.329074621,3.653249741
14.352,0.414679408,-1.646500587,3.182181358
14.412,0.413306087,-2.373296976,1.814831734
14.475,0.531467199,-2.55028224,0.945479393
14.533,0.704236388,-2.379192352,0.71299696
14.598,0.447986007,-2.070196867,0.491235256
14.653,-0.127721846,-1.985412598,0.837410927
14.72,0.397492111,-1.90405488,0.906752586
14.771,0.565098405,-0.964490414,0.110035896
14.833,0.927184224,-0.585048676,1.322707176
14.893,1.465501547,-0.197782516,0.616001129
14.953,1.086223483,0.030834675,0.218750954
15.013,1.391969323,0.419672012,-0.875705719
15.073,1.287325501,0.767101765,-1.256654739
15.133,0.62312597,0.930239201,-0.56342268
15.193,0.602740884,0.706243038,-0.257164955
15.254,0.200161219,0.438983917,0.514980316
15.312,0.208080173,0.832343102,0.113764763
15.373,0.978373051,1.552222729,0.925379753
15.432,1.716261744,0.793715954,0.769594193
15.493,1.539805293,0.499319077,-0.224870682
15.553,1.737557411,0.769773006,-1.462341309
15.613,0.891958773,0.564334393,-1.577171803
15.672,0.451624095,0.470192909,-1.041187286
15.733,-0.081832558,0.43474865,-0.456986904
15.793,-0.584879637,0.756114006,0.359725952
15.853,-0.394259363,1.320254326,0.522021294
15.911,0.86692518,1.117425442,3.066637993
15.971,-0.759327769,-0.623393059,0.456100464
16.034,0.516681731,-0.101082325,-1.4034338
