time,x-axis,y-axis,z-axis
0.038,-0.219715357,1.10454917,-0.20939827
0.132,-0.204712868,0.944640875,-0.127365112
0.197,0.072591543,0.038179994,-0.08247757
0.271,-0.058994055,0.029203892,-0.104654312
0.324,-0.023999453,0.044588804,-0.058626175
0.386,-0.006638885,0.100123167,-0.236100197
0.445,-0.100444674,0.063444614,-0.280343056
0.505,-0.070053339,-0.046855569,-0.100337982
0.565,-0.009309053,0.053342462,0.009141922
0.625,0.212506294,0.04124105,0.06924057
0.685,0.5963521,0.091081977,0.190797806
0.745,0.77681303,0.511486173,0.219889641
0.804,0.429147482,0.975259304,-0.027496338
0.864,0.030002832,-0.192709565,-0.083190918
0.925,0.458625317,-1.271213055,0.10452652
0.985,-0.634568214,-1.020554543,-0.584906578
1.045,-0.02878809,-0.359684348,-1.437789917
1.105,-1.019705653,-0.584702015,-1.535533428
1.165,-1.047015786,-0.143374562,-1.0942173
1.232,-1.361429691,-0.200909078,1.062975883
1.299,-0.716413498,1.040028334,0.886227608
1.35,-0.846684158,-0.060362488,0.028993607
1.41,-0.315802813,-0.934929192,-0.895256042
1.474,-1.318338513,-0.592029035,-0.657211304
1.53,-0.031432748,-1.72690773,2.86051178
1.588,-0.680423498,-1.227762222,0.246599197
1.648,0.573414445,1.156761646,-0.814056396
1.708,0.300002098,0.586333692,-0.629696846
1.769,0.493853092,-0.06886965,0.582386017
1.829,-0.681830525,-0.479388356,0.103308678
1.895,0.576470137,-0.192630768,-0.039222717
1.952,0.407095194,-0.225440562,0.098406792
2.005,0.212960243,-0.101741552,-0.307415962
2.056,-0.076200962,-0.037539244,-0.092983246
2.113,-0.009047508,0.014510632,-0.003031731
2.172,-0.18887496,-0.141267061,-0.07578373
2.234,-0.025503397,-0.076035321,-0.250703812
2.3,0.052321434,-0.07437104,0.014058113
2.361,0.088203192,0.006858945,-0.086011887
2.421,0.069172859,0.036534607,-0.169579506
2.482,0.100556374,0.016440094,-0.089421272
2.543,0.005583286,-0.097267389,-0.060908318
2.603,-0.029480934,-0.0054425,-0.023287773
2.663,-0.067809343,-0.002937078,-0.122180939
2.725,-0.030501127,-0.022978723,-0.108758926
2.786,-0.030084372,0.002127647,-0.108611107
2.848,-0.090466976,-0.046976984,-0.060825348
2.908,0.05363965,-0.014072657,-0.01006031
2.969,0.065960169,0.005505025,-0.083681107
3.04,0.031098127,-0.029258251,-0.012939453
3.097,-0.005931139,0.016210735,-0.157606125
3.164,0.45988822,-0.355908394,0.489348412
3.223,0.20577693,-0.413073719,0.711585999
3.282,-0.875329733,-0.925080955,0.908668518
3.347,-1.034534097,0.197699934,0.352122307
3.412,-0.479134798,0.363413781,-0.142481804
3.475,-0.215846777,0.511740565,-0.57333374
3.528,-0.57046032,0.529214025,-1.240690231
3.587,-0.030952692,0.470801055,-1.41078949
3.648,0.012671709,0.503065109,-0.677286148
3.713,0.228787899,-0.197995305,-0.32178688
3.777,0.382086754,0.063162744,-0.238418579
3.836,0.356140137,0.013810307,-0.480389595
3.901,0.57564497,0.555797815,-0.388811111
3.954,0.734156132,0.066691846,-0.496583939
4.019,0.996359825,-0.135986686,-0.015128136
4.08,-0.162814617,0.04610163,0.288287163
4.147,0.224794865,-1.135642052,0.112062454
4.219,0.665801525,1.08826077,-1.184537888
4.282,0.702162266,0.009377241,1.031817436
4.344,0.548686981,-0.057575941,-0.337940216
4.405,-0.129120827,0.30989778,-0.368571281
4.461,0.174786091,0.090189248,0.19015789
4.522,-0.085636139,0.134981334,-0.256230354
4.583,0.203309536,0.192287415,-0.103708267
4.647,0.035084724,-0.196641207,-0.121492386
4.707,-0.172028065,-0.036297202,0.028905869
4.768,-0.183681965,0.022931933,0.018024445
4.829,-0.1417799,0.079509199,-0.128178596
4.89,0.169337749,0.128112316,-0.195922852
4.95,-0.245910645,0.135205328,-0.409389973
5.012,-0.054512024,-0.024326444,-0.122217178
5.073,0.097158432,0.054512501,-0.098276138
5.126,-0.118410587,0.020642459,-0.054462433
5.192,-0.127961159,-0.025900602,-0.102208138
5.253,-0.057578564,0.051677167,-0.097574234
5.314,0.023121357,-0.090995014,-0.079815865
5.375,1.68E-04,0.063286781,-0.082917213
5.435,-0.053571224,0.037213147,-0.035482407
5.495,-0.133768082,0.032530069,-0.101632118
5.556,-0.056684971,0.051906168,-0.129723549
5.616,-0.041909695,0.033988833,-0.092707634
5.673,0.018739223,-0.009712636,-0.038923264
5.737,-0.025508881,0.087268353,-0.107698441
5.797,-0.03594923,0.006937563,-0.12282753
5.857,0.111142635,0.015720248,-0.104385376
5.912,0.170669556,-0.023486555,0.11870575
5.978,-0.271332264,0.105596721,-0.217731476
6.031,-0.103158951,0.150276423,-0.16644001
6.094,-0.187916756,-0.028239727,-0.044864655
6.162,-0.286325932,0.081088066,-0.070776939
6.223,-0.082849026,0.036035836,-0.025865555
6.282,-0.07395649,-0.008863151,-0.048821449
6.345,0.053923607,0.082502842,-0.077198982
6.407,0.017526627,-0.027669191,-0.095974922
6.469,-0.073159218,0.021960497,-0.098532677
6.528,-0.066320896,0.025894701,-0.073789597
6.589,-0.032307625,0.066045344,-0.065602303
