time,x-axis,y-axis,z-axis
0.062,-0.006211042,0.067631721,0.014974833
0.117,-0.006211042,0.067631721,0.014974833
0.178,-0.030793428,0.060993195,0.115137815
0.241,-0.047374249,0.018787384,-0.027243137
0.306,-0.021956444,-0.045788765,-0.109754086
0.358,0.105214596,0.017350197,0.153661966
0.423,0.096624017,0.062364578,-0.013240814
0.506,-0.026463389,-0.056517601,0.031711102
0.565,-0.048508644,0.025286674,-0.07595396
0.626,0.09621048,0.066725731,0.071870089
0.686,-0.008366585,-5.93E-04,0.150332212
0.749,-0.009568691,0.00776577,0.023280859
0.808,0.067063808,0.097361565,0.015363216
0.866,-0.0512743,0.114814758,0.092716455
0.93,0.050836802,0.055603981,0.04093194
0.989,-0.021898508,-0.018018723,-0.05691576
1.049,-0.105958462,-0.048620224,0.069858789
1.115,-0.021112204,0.017131805,-0.03990984
1.172,0.109420538,-0.031144142,0.008112431
1.232,-0.132673025,-0.042786598,0.197516203
1.296,-0.042323112,-0.103827477,-0.082737923
1.358,-0.093600035,0.009428978,0.13394475
1.412,-0.078684807,-0.100401878,0.034433603
1.473,0.009576797,0.020941734,0.228716612
1.532,-0.097439051,-0.364801407,0.391917467
1.594,-0.091223955,-0.292789459,0.358859777
1.66,-0.267136335,-0.111774445,0.312816858
1.712,-0.17574358,0.347245216,0.086281538
1.777,-0.27000761,0.06619072,0.235174179
1.835,-0.351675749,0.0744524,0.134588957
1.898,-0.393218994,0.041234016,-0.092821598
1.956,-0.162566423,0.511770248,0.569699526
2.016,-0.258618891,0.241662025,0.573474169
2.079,-0.054039598,0.234028816,0.888840914
2.14,-0.230543703,-0.257007599,1.225031376
2.203,-0.036795672,-0.374183655,1.081645489
2.26,-0.034092337,-0.67492485,0.883917451
2.319,0.133842826,-0.687955856,1.084130883
2.382,-0.670194626,-0.877020836,1.018487453
2.446,0.087073326,0.453007698,0.338744402
2.5,0.381810784,-0.056247711,-0.36326772
2.564,0.021284342,-0.257427216,-0.558952451
2.626,0.212580681,-0.045678139,-1.798424721
2.684,0.793565989,0.126031876,-2.322584391
2.745,0.555790663,1.035567284,-2.658937454
2.805,0.482388496,1.300097466,-2.090574741
2.863,1.550182462,0.957980156,-2.265365124
2.926,0.670210958,0.556295395,-1.95019865
2.988,1.034883738,1.14804554,-1.207633257
3.046,0.494434595,0.863121033,-0.960095406
3.108,-0.095794439,0.797504425,-1.065181971
3.169,-0.663320005,0.635750771,-0.900930405
3.229,0.294549406,-0.305505753,1.375804901
3.287,-1.534042716,-0.826475143,-1.152269125
3.35,-0.237820596,-1.67269516,0.121856451
3.41,0.100577444,-2.540455818,-0.739687324
3.471,-0.048428059,-2.559333801,-0.711704493
3.533,0.054286845,-2.752785683,-0.174775362
3.59,0.200993821,-2.803637505,-0.104803264
3.653,0.175421089,-1.989614487,0.413639635
3.713,0.714891493,-1.57237339,0.100814164
3.774,0.765009522,-0.237847328,1.285021782
3.833,0.55435133,-0.162827492,1.12989068
3.893,0.760792732,-0.491351128,0.897593737
3.953,0.970989585,-1.31099987,0.858078718
4.016,1.098103762,0.024514198,0.523077607
4.075,0.646800518,0.562275887,0.634119868
4.135,1.431989193,0.625809669,-0.098636806
4.201,-0.051655293,-0.108001709,-0.357213795
4.256,0.148532748,0.50004673,0.386348248
4.316,0.098901153,-0.539557457,-0.676629305
4.379,0.354915023,0.74683857,-1.376863718
4.443,0.780733705,0.710459709,0.06539762
4.498,-0.17291081,-0.544636726,-0.364043236
4.559,0.200569391,-0.949309349,-0.187904358
4.621,-0.044011474,-0.318043709,-0.252908587
4.682,-0.801945806,-0.50268364,0.407811344
4.742,-0.589354277,-0.593873978,1.446613431
4.802,-0.830832601,-0.761212349,1.063761353
4.862,-1.452347517,-0.601207733,1.736685514
4.922,-1.084357977,0.143587112,1.980482936
4.991,-0.175148368,0.300429344,1.211334586
5.047,-0.735849619,2.544325829,0.773383319
5.106,-1.763536334,0.359392166,-1.610491276
5.166,2.595406055,1.33303833,-2.654354572
5.223,6.018120766,-1.278172493,-6.96787262
5.29,-1.505950093,0.04949379,-1.577412367
5.347,-0.928556323,-1.584691048,0.689200521
5.41,1.50312376,-0.723140717,2.325375319
5.469,-0.770196915,-1.260220528,-0.046374619
5.529,-0.476024508,-1.201365471,1.314337969
5.592,-0.549146891,-1.598647118,1.400411606
5.649,0.123999,-1.178349495,1.291688919
5.71,-0.193691969,0.90619278,1.280495048
5.772,-0.158851743,3.78235054,1.134021759
