time,x-axis,y-axis,z-axis
0.036,0.087283611,-0.046641946,0.047269344
0.112,0.052409172,0.040944219,-0.007843494
0.209,-0.014980793,0.115966558,-0.001381874
0.26,0.062892914,0.018136263,-0.042358875
0.314,0.122797489,-0.098088741,0.041136265
0.371,0.098347187,-0.132501721,-0.004199028
0.431,-0.023881435,9.11E-04,-0.085570812
0.491,0.117919445,-0.095315933,-0.087620735
0.551,-0.155485153,0.417314291,-0.657378674
0.611,0.150900364,1.279934287,-1.091705799
0.671,-0.515577316,1.134891987,-0.806038618
0.731,-0.803326607,-0.224454939,-0.342023611
0.791,0.041276932,-0.724987388,0.296086073
0.851,-0.309566498,-0.867896378,0.219697833
0.912,0.139531136,-0.977193475,0.149527192
0.972,0.785991669,-0.285045594,0.670109391
1.032,-0.265346527,0.594446778,0.409262925
1.092,-0.120265007,-0.557293713,-0.331296474
1.152,-0.079210281,-0.69872719,-0.414744586
1.212,0.074465752,-1.009227157,-0.405150235
1.275,-0.555659294,-0.534646153,0.063020825
1.334,0.053479195,0.137352228,-0.160572842
1.398,0.246030807,0.394623756,-0.430994302
1.457,-0.189900398,0.287616611,0.032099023
1.518,0.132372856,0.581885457,0.158300236
1.577,-0.131660461,0.305870891,-0.091515094
1.638,-0.096586227,0.14274931,0.134798914
1.7,0.12265873,0.186956644,0.159632951
1.758,0.097398758,0.176253796,-0.138978869
1.82,0.169457436,0.249448538,-0.261646628
1.878,0.067593575,-0.001172423,-0.124181092
1.939,-0.027718544,-0.028707027,0.005110472
2,-0.119815826,-0.125013709,-0.191243306
2.059,0.150958061,0.022890687,-0.106859952
2.119,-0.054420471,-0.073199391,-0.164357036
2.183,-0.068619728,-0.08565557,-0.200762227
2.245,-0.07315731,-0.023370028,-0.244944498
2.306,-0.050880432,-0.022568345,0.073133618
2.365,-0.026242256,-0.039867878,-0.134026185
2.425,-7.85E-04,-0.079173684,-0.078062892
2.486,0.024064064,-0.033985376,-0.07673192
2.546,0.045972824,-0.051102161,0.01516369
2.606,-0.030963898,0.002177119,0.03960371
2.666,-0.007698059,0.155296326,0.045733571
2.726,0.070338249,0.115111351,-0.046774626
2.787,0.457638741,-0.072608471,0.004881322
2.846,-0.283864021,-0.119336843,-0.172094345
2.906,-0.142926216,-0.108882546,-0.128183901
2.967,-0.19672966,0.153036833,0.015001178
3.027,0.16650486,0.039633393,-0.030614346
3.087,0.169665337,-0.231297135,0.050399214
3.146,-0.02384758,0.239542246,-0.047702849
3.207,-0.216362,0.304853797,-0.167749032
3.267,0.212290764,-0.249671936,0.043560326
3.327,-0.122620583,-0.200175166,-0.037771225
3.387,-0.205779076,0.022316456,-0.160924122
3.447,0.195385933,0.032314181,0.085841149
3.507,-0.017745972,-0.270843267,0.111028761
3.566,-0.244308472,0.118225694,-0.160680979
3.626,0.247509956,0.134978294,0.098300815
3.691,-0.049133301,-0.09699142,0.003538698
3.747,-0.170996666,0.181560755,-0.176437348
3.808,0.169672012,-0.078379154,-0.024259418
3.87,0.077195168,-0.161410451,0.143162876
3.931,-0.198145866,0.152079463,-0.234975472
3.99,0.116979599,0.096386194,0.067443311
4.049,0.082577705,-0.062077403,-0.024556935
4.111,-0.166670799,-0.084499002,-0.059678495
4.171,-0.002985954,0.136416554,-0.039034396
4.231,0.145310402,0.090328217,0.177988082
4.292,-0.255214691,-0.68316257,-0.691347957
4.355,0.950553894,-0.192718983,0.57495445
4.415,-0.724169731,0.489879608,-0.419110388
4.476,0.166184425,0.623150826,0.474736422
4.538,-0.329583168,0.04806304,-0.022479564
4.599,0.047374725,-0.196302652,-0.028008536
4.661,0.207925797,0.056474924,0.159520119
4.721,-0.253749847,0.350004196,0.284399122
4.783,0.319359779,0.198615193,0.132065713
4.845,-0.077143669,-0.074109554,-0.023468554
4.906,-0.225644112,0.054488301,-0.361885101
4.966,0.089904785,0.006791472,-0.081458405
5.026,0.036472321,-0.274788857,0.193037748
5.087,-0.054457664,-0.02900517,-0.34380585
5.147,0.205028534,0.539970875,0.109728783
5.206,0.287241936,-0.226859212,0.143142998
5.266,0.260331154,-0.738141894,-0.077221781
5.326,-0.640839577,0.55854547,-0.499413162
5.387,-0.093885422,0.348558545,0.03075169
5.448,-0.010302544,0.013914466,0.101134568
5.511,-0.097575188,0.221307993,0.163564995
5.576,0.047019958,0.037482381,-0.02246552
5.636,0.333406448,-0.202340961,0.206377134
5.698,-0.154924393,0.182340741,-0.12484511
5.761,-0.226892471,0.052966237,-0.043580785
5.82,0.348993301,-0.067225575,0.06004034
5.881,-0.258574486,-0.06384325,-0.021366611
5.941,-0.089566231,0.102582335,-0.188020229
6.001,0.238412857,0.024607539,0.004513681
6.062,-0.178846359,-0.16779995,0.126738951
6.123,-0.070703506,0.216506481,-0.062516958
6.184,0.098031044,0.057345271,-0.033624038
6.244,-0.170163155,-0.094913125,0.181841835
6.303,0.069014549,0.099292636,-0.020115748
6.365,-0.213195801,0.110475063,-0.097957686
6.426,0.156765938,-0.176503062,0.063542202
6.487,-0.025806427,0.031186581,-0.029122047
6.549,-0.010936737,0.103080869,0.008525848
6.61,0.09541893,-0.017025948,0.017507017
6.67,0.001983643,-0.203609824,0.110025734
6.731,-0.265044212,0.097361445,-0.210888475
6.791,-0.004722595,0.203778028,0.206646606
6.852,0.30542469,0.012429595,-0.011482343
6.916,-0.09529686,-0.255716205,-0.261685193
6.977,-0.161231041,0.276808381,0.053128362
7.044,0.243265152,0.221874714,0.172562554
7.096,-0.120441437,-0.383977532,-0.160879135
7.156,0.214808464,0.395062208,0.042411149
7.22,0.266379356,-0.500990391,0.301498145
7.275,-0.197725296,0.082376361,-0.282476068
7.336,0.078909874,0.708580732,-0.04923369
7.398,0.501533508,-0.519041121,-0.37166357
7.46,0.538052559,-0.306444168,0.120751128
7.52,-0.205471992,0.021236062,-0.033085696
7.581,-0.525306702,0.856297493,0.573017955
7.643,0.558297157,0.132910132,0.332308292
7.703,-0.433312416,0.379174948,-0.305538923
7.762,0.063788414,0.505148768,0.233161107
7.825,0.664627075,-0.382554531,-0.129090488
7.885,-0.193036079,-0.987762988,-0.079039648
7.945,-0.367888451,0.290265083,-0.356456041
8.005,0.002526283,0.41998136,0.0913257
8.066,0.172084808,0.199761271,0.384966135
8.126,-0.249097824,0.011761308,0.025545359
8.187,0.044963837,-0.117064357,-0.100439578
8.247,0.325590134,0.014578938,0.153212547
8.306,-0.338573456,0.391147733,-0.110666946
8.367,0.430504799,0.026062489,0.11916063
8.428,-0.073210716,-0.33928442,0.063172206
8.489,-0.256038666,0.307338715,-0.144214422
8.55,0.259389877,0.224589944,-0.054154783
8.611,0.048864365,0.137250781,0.175801396
8.671,-0.206129074,-0.066149831,-0.033047706
8.733,0.136584282,-0.221087456,-0.062233463
8.794,-0.368385315,-0.533374786,-1.033406734
8.856,0.311980247,0.521053314,0.361806214
8.914,-0.130407333,-0.056170344,0.459282219
8.976,-0.021690369,0.067127824,0.439915866
9.037,0.425943375,0.162470818,-0.159280449
9.098,-0.257081985,0.292103648,-0.205342561
9.16,0.163909912,0.573066711,0.310079515
9.22,-0.124956131,0.125742793,0.389332473
9.28,0.221903801,-0.028056741,0.183849081
9.341,-0.057883263,-0.106026649,-0.236021757
9.4,-0.049923897,-0.101869106,-0.012750179
9.461,-0.014206886,-0.142762303,0.072415262
9.522,-0.151246071,-0.173858523,0.192981079
9.581,-0.15371418,0.338834286,-0.288712323
9.642,0.19978714,-0.189502239,-0.135796696
9.701,-0.1307621,-0.05612886,-0.03606385
9.762,-0.122738838,-0.066757917,-0.002864152
9.822,0.370171547,-0.153035641,0.038534611
9.885,-0.29421711,0.366065979,-0.103812844
9.945,0.212269783,0.276859879,0.116821378
10.006,0.058411598,-0.215946198,0.179863811
10.068,-0.34534359,0.234676957,0.056949407
10.128,0.386598587,0.367886305,-0.368853211
10.187,-0.234630585,-0.869122982,0.008970648
10.249,-0.737751007,0.140964389,-0.330438435
10.308,-0.505953789,2.232382298,0.389868498
10.368,-0.103508949,0.861084938,1.102984548
10.427,0.696414948,-0.844238937,-0.049150676
10.487,0.672021866,-2.322002888,-1.23156786
10.549,-0.798152924,-1.947989583,-1.561823845
10.61,-0.590172768,0.301115036,-0.024005145
10.672,-0.196754456,-0.161598325,-0.089082889
10.733,-0.042384148,-0.339904904,0.399962038
10.796,-0.065270424,-0.486280322,-0.205939353
10.854,0.300728798,0.158661485,0.102758363
10.916,0.127417564,0.12095201,0.361093104
10.976,0.067036629,-0.158546805,0.126705647
11.037,-0.164105415,-0.224297762,-0.173714057
